"あいかわらず";"aikawarazu";"seperti biasanya; seperti sebelumnya; seperti biasa; tetap"
"すまない";"sumanai";"tidak bisa dimaafkan; tidak bisa dibenarkan; tidak dapat diampuni, maaf; menyesal; meminta maaf; dilanda hati nurani, permisi; Saya minta maaf; Terima kasih"
"すみ";"sumi";"sudut; reses, di bawah panggung sebelah kanan (di panggung noh) ; arang, sisa hangus ; sumi; tinta India; tinta Cina; tongkat tinta; kue tinta, tinta cumi; tinta gurita, string tinta tukang kayu ; diatur; diurus; mapan; lengkap; selesai ; tinta hitam, tinta India, tongkat tinta, Meksiko ; asam; keasaman"
"すむ";"sumu";"untuk hidup (dari binatang); untuk menghuni; ke sarang ; menyelesaikan; untuk mengakhiri; untuk diselesaikan, hanya menghasilkan sesuatu yang tidak terlalu parah dari yang diharapkan, merasa nyaman, merasa tidak nyaman atau bersalah karena mengganggu seseorang; untuk meminta maaf ; untuk hidup (manusia); untuk tinggal; untuk menghuni; untuk mematuhi ; menjadi jernih (air, udara, dll.); menjadi transparan, bergaung dengan jelas (misalnya suara), menjadi tenang; untuk bebas dari kekhawatiran, diucapkan sebagai suara yang tidak bersuara"
"清む";"sumu";"menjadi jernih (air, udara, dll.); menjadi transparan, bergaung dengan jelas (misalnya suara), menjadi tenang; untuk bebas dari kekhawatiran, diucapkan sebagai suara yang tidak bersuara"
"すもう";"sumou";"gulat sumo, pegulat; rikishi"
"すり";"suri";"memperbaiki; perbaikan; pemasangan; pelayanan ; pencopet ; pencetakan"
"刷る";"suru";"untuk mencetak, warna atau pola kain dengan menggunakan cetakan kayu"
"すれちがう";"surechigau";"untuk berpapasan (melalui) satu sama lain; untuk melewati, untuk merindukan (bertemu) satu sama lain; gagal bertemu, berselisih; untuk berbenturan; berada dalam konflik"
"すんぽう";"sunpou";"pengukuran; ukuran; cakupan; dimensi, rencana; maksud; pengaturan; jadwal"
"ずいひつ";"zuihitsu";"esai; aneka tulisan; catatan sastra"
"ずうずうしい";"zuuzuushii";"kurang ajar; tidak tahu malu; maju; berani; bermuka tebal"
"ずうっと";"zuutto";"terus menerus dalam keadaan tertentu (untuk waktu yang lama, jarak); selama; selama ini; sepanjang waktu; sepanjang jalan, banyak (lebih baik, dll.); sejauh ini; jauh sekali, jauh sekali; dahulu kala, langsung; lurus"
"ずかん";"zukan";"buku bergambar; buku gambar; buku referensi bergambar; panduan identifikasi; panduan lapangan"
"図形";"zukei";"angka; membentuk; grafis"
"頭脳";"zunou";"kepala; otak, kecerdasan; memahami"
"図表";"zuhyou";"bagan; diagram; grafik; angka"
"ずらす";"zurasu";"untuk bergeser; untuk meluncur (misalnya sesuatu yang menjauh dari sesuatu yang lain); untuk memindahkan (misalnya sesuatu yang menyimpang), menunda; untuk menunda; untuk terhuyung-huyung (misalnya jam kerja)"
"ずらり";"zurari";"berturut-turut; dalam satu baris"
"ずるい";"zurui";"licik; tidak adil; tidak jujur, kikir; berarti; pelit"
"ずれる";"zureru";"meluncur; untuk tergelincir; untuk mendapatkan dislokasi; menjadi tidak selaras; untuk copot; menyimpang; untuk menggeser (posisi); menjadi tidak sinkron.; menjadi sedikit melenceng; menjadi tidak tepat"
"姓";"sei ; shou ; sou ; kabane";"nama belakang; nama keluarga, gelar turun-temurun (digunakan di Jepang kuno untuk menunjukkan pangkat dan kedudukan politik) ; gelar turun-temurun (digunakan di Jepang kuno untuk menunjukkan pangkat dan kedudukan politik), klan"
"せいさく";"seisaku";"karya (film, buku), produksi; penciptaan; mematikan (sesuatu); perkembangan ; tindakan politik; kebijakan ; pembuatan; produksi ; korda spermatika ; tali-temali berdiri; kawat berdiri; garis statis ; awal bulan atau tahun; Hari Tahun Baru; kalender"
"制作";"seisaku";"karya (film, buku), produksi; penciptaan; mematikan (sesuatu); perkembangan"
"性質";"seishitsu";"alam; Properti; watak"
"清書";"seisho";"salinan yang adil; salinan bersih"
"青少年";"seishounen";"anak muda; orang muda"
"せいすう";"seisuu";"bilangan bulat ; nomor positif"
"清掃";"seisou";"pembersihan; membersihkan; pengumpulan sampah; pemulungan"
"生存";"seizon";"adanya; makhluk; kelangsungan hidup, untuk eksis; untuk hidup; untuk bertahan hidup"
"生長";"seichou";"pertumbuhan (tanaman)"
"政党";"seitou";"Partai Politik"
"生年月日";"seinengappi";"tanggal lahir; DOB"
"性能";"seinou";"kemampuan; pertunjukan; efisiensi"
"せいび";"seibi";"pemeliharaan; servis, penempatan; pembentukan; perkembangan; persiapan; persediaan; perlengkapan ; mencapai kebajikan ; murni dan indah ; keindahan tertinggi; keindahan ; peralatan lengkap; konsolidasi"
"成分";"seibun";"bahan; komponen; komposisi"
"性別";"seibetsu";"jenis kelamin; pembedaan jenis kelamin"
"正方形";"seihoukei";"persegi"
"正門";"seimon";"gerbang utama; pintu masuk utama"
"成立";"seiritsu";"pembentukan; perwujudan; terwujudnya, kesimpulan (misalnya kesepakatan); mencapai (misalnya kesepakatan); persetujuan; penyelesaian; penutupan; yg membuat; pengaturan, menjadi valid (teori, argumen, dll.); memegang; melamar"
"せいれき";"seireki";"Tarikh Masehi; CE; Era Kristen; tidak ada domini; IKLAN, Kalender Barat (Gregorian)."
"背負う";"seou ; shou";"untuk menggendong di punggung, untuk dibebani; untuk mengambil tanggung jawab untuk, memiliki (sesuatu) di latar belakang; berada di depan (sesuatu), menjadi sombong; untuk memikirkan diri sendiri secara tinggi"
"夕日";"sekijitsu ; yuuhi";"matahari sore; matahari terbenam"
"赤道";"sekidou ; akamichi ; akadou";"khatulistiwa ; jalan umum yang tidak sah (dilambangkan dengan garis merah pada peta kadaster; terkadang secara fisik sudah tidak ada lagi)"
"折角";"sekkaku";"dengan kesulitan; dengan susah payah, jarang; berharga; yang sudah lama ditunggu-tunggu, baik hati; murah hati, khusus; khususnya; secara tegas"
"接近";"sekkin";"semakin dekat; mendekat; mendekati, menjadi tidak jauh berbeda; berada dekat (usia, keterampilan, dll.), menjadi dekat (yaitu ramah); menjadi intim"
"せっけん";"sekken";"sabun mandi ; wawancara ; penaklukan besar-besaran; menyapu; menaklukkan; menyerang ; sutra dalam jumlah sedikit (yaitu hanya satu kaki kain), lukisan tidak penting; karya seni yang sepele ; periuk berbentuk pedang ditemukan di situs arkeologi di Jepang bagian timur yang berasal dari akhir zaman Jomon ; ekonomi; penghematan"
"接する";"sessuru";"menyentuh; untuk melakukan kontak dengan; untuk berbatasan; untuk berdampingan; untuk berdekatan; menjadi dekat, untuk menerima (misalnya pengunjung); untuk menghadiri; melayani; untuk mengurus; untuk menjaga; untuk bertindak menuju; untuk menangani; untuk melihat, menerima (berita); mendapatkan; untuk mendengar, menjumpai; untuk menemukan, bersinggungan dengan, melakukan sentuhan; untuk melakukan kontak dengan; untuk membawa berdekatan; untuk mendekatkan; untuk menghubungkan"
"せっせと";"sesseto";"rajin; dengan tekun; berang-berang pergi"
"接続";"setsuzoku";"koneksi; lampiran; Persatuan; bergabung; persendian; link, pindah kereta, konjungsi"
"せともの";"setomono";"tembikar; porselen; Cina; balapecah"
"せまる";"semaru";"untuk mendekati; untuk mendekat; akan segera, menekan (seseorang untuk sesuatu); untuk mendesak; untuk memaksa"
"せめて";"semete";"setidaknya; paling banyak; (bahkan) saja ; pelanggaran; metode serangan"
"せめる";"semeru";"untuk menyerang ; untuk mengutuk; menyalahkan; mengkritik; untuk mengkritik; untuk mencela; untuk menuduh, mendesak; untuk menekan; mengganggu, menyiksa; untuk menyiksa; menganiaya, mendobrak masuk (seekor kuda)"
"せん";"sen";"sumbat; steker; bung, ketuk; keran; kunci pipa ; pilihan; memilih; pemetikan ; 1.000; ribu ; garis; stria, line (misalnya saluran telepon); kawat, ray (misalnya sinar-X); balok, garis (misalnya pada rel kereta api); melacak; rute; jalur, garis besar; kontur; bentuk, tingkat, pembagian, garis (tindakan); posisi; mendekati; kebijakan; prinsip, kesan yang ditinggalkan seseorang; udara yang dikeluarkan seseorang ; sen (seperseratus yen), koin terbuat dari bahan tidak berharga, seperseribu kan (sebagai satuan mata uang), seperseribu kan (sebagai satuan massa) ; perang; pertarungan, pertandingan; permainan; kompetisi ; antologi (puisi, dll); kompilasi; koleksi; pilihan ; orang rendahan; kerendahan hati, I ; julienne daikon; julienned daikon, sepersepuluh juta ; slip (kertas), tag (biasanya bambu, kayu, gading, dan lain-lain); label ; memiliki jimat untuk...; mengkhususkan diri dalam...; mengambil jurusan..., pertama; terutama; prioritas nomor satu, melakukan sesuka hati; bertindak egois, menembakkan batu bata ; keranjang pancing bambu berbentuk silinder ; tampan; menarik ; mesin cuci (laundry) ; sakit perut ; tatanan kekaisaran; dekrit kekaisaran ; jalan; metode; berarti, efek; hasil; keuntungan; membantu; bernilai; menggunakan ; Siam (nama lama Thailand) ; karpet; permadani (khususnya kain kempa) ; persembahan makanan kepada para dewa, makanan yang disiapkan ; bata (digunakan pada bangunan bergaya Cina) ; tidak akan melakukan; tidak ; dangkal, tidak dalam ; berputar, bergerak dalam orbit; kembali ; menginjak-injak, terus berjalan ; bersembunyi; tersembunyi, rahasia, terpendam ; bergerak, bergeser, berubah; transfer ; segar, baru, lezat; jarang, sedikit ; mencukur; (Tidak bisa.) menguliti binatang ; menembus, mengebor; memakai ; kilatan; menghindari, menghindar ; memonopoli, mengambil kepemilikan tunggal ; perang, pertempuran ; baik, halus; menit; anggun ; semua ; pertapa ; klip, gunting, potong ; kumparan digunakan untuk mengumpulkan benang pintal, umumnya seluruhnya ; cantik ; kain wol ; tabung bambu, pasak kayu, cerat ; pembantaian ; sembunyikan, turunkan (suara), diam ; taburkan, cipratkan ; mengipasi, mengepakkan, menghasut, mengagitasi, menguatkan, menelan ; kebakaran padang rumput ; kurap ; melihat ; kocokan bambu untuk membuat teh ; label, tanda tangan ; baik, halus, kecil, anggun ; sudah cukup, tambahkan ; menginjak, menginjak-injak, berlatih, meneruskan ; mengukur, menimbang ; mengukir, memahat ; menjelaskan ; nama tempat ; ayunan, trapeze ; bawang bombay atau daun bawang ; merasa ngeri ; geld, mengebiri ; pertapa; penyihir, sihir ; mantan; sebelumnya; lama, langkah pertama (dalam go, shogi, dll.); gerakan pembukaan ; infus (teh); infusi ; kelenjar ; hadiah perpisahan; viaticum"
"せんざい";"senzai";"deterjen; pembersih; bahan pembersih; bahan pencuci ; kemampuan; dormansi; latensi ; batang kawat ; materi promosi; materi iklan; materi propaganda ; pra-eksistensi ; milenium; seribu tahun; lama ; rebusan ; kebun; pohon dan bunga di taman"
"せんす";"sensu";"kipas lipat ; untuk merebut dengan sombong"
"専制";"sensei";"despotisme; kediktatoran"
"せんせんげつ";"sensengetsu";"bulan sebelumnya"
"せんせんしゅう";"sensenshuu";"minggu sebelumnya"
"先祖";"senzo";"leluhur; nenek moyang"
"せんたん";"sentan";"ujung runcing; tip; titik puncak (dari daun, bulan sabit, dll.); puncak (kurva), depan; pelopor; mempelopori; terdepan ; pembukaan permusuhan ; saus batubara; konsentrasi batubara ; ramuan (kehidupan)"
"せんでん";"senden";"publisitas; iklan; periklanan; propaganda ; kilatan petir"
"先頭";"sentou";"kepala; memimpin; pelopor; Pertama"
"せんぷうき";"senpuuki";"kipas listrik"
"線路";"senro";"rel kereta; jalur kereta api; jalan kereta api"
"税関";"zeikan";"bea cukai; rumah adat"
"ぜひとも";"zehitomo";"tentu saja; dengan segala cara; sangat"
"前後";"zengo ; maeshirie";"depan dan belakang; sebelum dan di belakang; bolak-balik, sebelum dan sesudah, sekitar; tentang; kira-kira, pesanan; konteks, konsekuensi, saat; sekitar waktu, inversi; pengembalian; rusak, terjadi bersamaan; terjadi pada saat yang bersamaan"
"全集";"zenshuu";"menyelesaikan pekerjaan; koleksi lengkap; seri lengkap"
"ぜんしん";"zenshin";"pendahulunya; leluhur; posisi sebelumnya; keberadaan sebelumnya; organisasi pendahulunya ; maju; bergerak kedepan; kemajuan ; seluruh tubuh); panjang penuh (misalnya potret), sistemik ; Tuhan yang baik; dewa yang baik, ajaran Buddha yang sebenarnya ; guncangan awal ; uji coba pendahuluan ; kebajikan; pengertian moral; hati nurani ; kemajuan bertahap; kemajuan yang stabil ; sepenuh hati seseorang"
"全般";"zenpan";"(yang) keseluruhan, secara keseluruhan; secara umum; pada umumnya"
"相違";"soui";"perbedaan; variasi"
"そういえば";"souieba";"sekarang setelah Anda menyebutkannya; kalau dipikir-pikir; itu mengingatkanku; mengenai hal itu; ngomong-ngomong soal"
"そうこ";"souko";"gudang; turun ; kuno dan gurih"
"相互";"sougo";"saling; timbal-balik"
"そうさく";"sousaku";"penciptaan; produksi; karya kreatif (novel, film, dll); karya asli; (kreatif) menulis, fabrikasi; fiksi; penemuan ; pencarian (khususnya seseorang atau sesuatu yang hilang); perburuan, penggeledahan yang sah secara hukum terhadap seseorang, bangunan, dll."
"そうしき";"soushiki";"pemakaman ; mesin penggulung sutra ; kenalan ; komando tertinggi; arah atas segalanya"
"そうして";"soushite";"Dan; seperti itu"
"そうぞうしい";"souzoushii";"bising; keras; riuh; parau, bergolak; gelisah"
"そうっと";"soutto";"dengan lembut; diam-diam; dengan ringan, diam-diam; secara rahasia, untuk dibiarkan sendiri; untuk pergi apa adanya"
"送別";"soubetsu";"selamat tinggal; mengirim"
"総理大臣";"souridaijin";"perdana menteri (sebagai kepala pemerintahan kabinet); Perdana"
"送料";"souryou";"ongkos kirim; pengangkutan; biaya pengiriman"
"足跡";"sokuseki ; ashiato";"jejak kaki, catatan pengunjung halaman (misalnya di situs jejaring sosial)"
"速達";"sokutatsu";"cepat; Pengiriman khusus"
"測定";"sokutei";"pengukuran"
"測量";"sokuryou";"pengukuran; survei"
"速力";"sokuryoku";"kecepatan"
"そしつ";"soshitsu";"bakat (dari); bakat; kualitas, sifat; karakter; perangai"
"祖先";"sosen";"leluhur"
"そそっかしい";"sosokkashii";"ceroboh; gegabah; ruam"
"卒直";"socchoku";"jujur; mudah; berhati terbuka; langsung; terus terang"
"具える";"sonaeru";"untuk melengkapi; untuk menyediakan; untuk menginstal, untuk mempersiapkan; untuk membuat persiapan; untuk membuat ketentuan untuk, memiliki (semua yang diperlukan); untuk diberkahi; untuk dilengkapi dengan, untuk dilahirkan; untuk dimiliki sejak lahir"
"そのうえ";"sonoue";"Selain itu; selanjutnya, di atas (yang mana)"
"そのころ";"sonokoro";"pada waktu itu; pada masa itu; pada saat itu; Kemudian"
"そのため";"sonotame";"karena itu; untuk alasan itu"
"そのほか";"sonohoka";"sisanya; yang lain, sebagai tambahan (untuk itu); Selain itu; Selain daripada itu; dan lainnya..., dan seterusnya; dan sejenisnya; dan apa yang kamu punya; dan sebagainya"
"そば";"soba";"soba (Fagopyrum esculentum), soba; Mie soba Jepang ; di dekat; menutup; di samping; sekitarnya; kedekatan; di samping itu; sementara, orang ketiga"
"反る";"soru ; kaeru";"untuk melengkung; membungkuk, membungkuk ke belakang (tubuh atau bagian tubuh, misalnya jari) ; mengembalikan; untuk kembali, untuk membalikkan, menjadi sangat; menjadi sepenuhnya"
"そる";"soru";"untuk melengkung; membungkuk, membungkuk ke belakang (tubuh atau bagian tubuh, misalnya jari) ; untuk mencukur"
"それなのに";"sorenanoni";"dan lagi; meskipun ini; tapi meski begitu; tapi meskipun begitu; Namun; namun demikian; untuk semua itu; meskipun demikian"
"それる";"soreru";"untuk berpaling; untuk menanggung; untuk menyimpang; untuk menyimpang dari; meleset (misalnya target), menyimpang (misalnya percakapan); menyimpang; tersesat; mengembara"
"そろう";"sorou";"menjadi lengkap; untuk hadir semua; untuk membuat satu set lengkap; untuk dipenuhi (kondisi), untuk menjadi setara; menjadi seragam; menjadi seimbang; untuk mencocokkan; setuju, untuk berkumpul; untuk dikumpulkan ; kecerobohan; kelalaian"
"そろえる";"soroeru";"untuk mengumpulkan; berkumpul; untuk dapat bersama-sama; untuk melengkapi (koleksi), untuk mengatur; untuk menertibkan; untuk mempersiapkan; bersiap-siap, membuat seragam; untuk membalas; untuk mencocokkan"
"そろばん";"soroban";"sempoa; soroban, perhitungan (khususnya untung dan rugi); perhitungan"
"損得";"sontoku";"kerugian dan keuntungan; kelebihan dan kekurangan"
"ぞうきん";"zoukin";"kain rumah; kain debu"
"増減";"zougen";"menambah dan mengurangi; fluktuasi"
"造船";"zousen";"pembuatan kapal"
"増大";"zoudai";"pembesaran; meningkatkan"
"ぞうり";"zouri";"zori; sandal thong tradisional Jepang"
"ぞくする";"zokusuru";"menjadi milik; untuk berada di bawah; untuk berafiliasi dengan; untuk tunduk pada ; untuk mempercayakan, untuk mengirim (pesan, dll.)"
"ぞくぞく";"zokuzoku";"berturut-turut; satu setelah lainnya ; gemetaran; merasa kedinginan, gemetar (karena takut); merasa menyeramkan, senang; bersemangat ; mengumpulkan; berkerumun"
"存じる";"zonjiru";"untuk berpikir, merasakan, mempertimbangkan, mengetahui, dll."
"存ずる";"zonzuru";"untuk berpikir, merasakan, mempertimbangkan, mengetahui, dll."
"退院";"taiin";"meninggalkan rumah sakit; keluar dari rumah sakit"
"たいけい";"taikei";"angka; bentuk tubuh; membangun; perawakan; bentuk, somatotipe; biotipe; kebiasaan; (tipe) fisik ; sistem; organisasi; Arsitektur ; garis besar; survei; ringkasan ; rencana skala besar atau jangka panjang; kebijakan yang berpandangan jauh ke depan ; kegembiraan yang luar biasa ; kakak laki-laki, kamu (mengacu pada laki-laki yang usia atau statusnya lebih tinggi) ; hukuman fisik, hukuman penjara; kerja paksa; penjara dengan kerja paksa ; formasi pertempuran; disposisi pasukan"
"たいこ";"taiko";"drum ; seruan nyaring; berteriak ; zaman kuno"
"たいさく";"taisaku";"ukuran; melangkah; tindakan balasan; rencana tandingan; langkah balasan; strategi; persiapan (misalnya untuk ujian) ; pekerjaan skala besar; pekerjaan yang banyak, pekerjaan yang monumental; kerja bagus; mahakarya"
"大して";"taishite";"(tidak terlalu) banyak; (tidak terlalu"
"対照";"taishou";"kontras; antitesis; perbandingan"
"体制";"taisei";"memesan; sistem; struktur; mempersiapkan; organisasi"
"体積";"taiseki";"kapasitas; volume"
"たいそう";"taisou";"olahraga senam; latihan fisik, senam artistik; kompetisi senam, pendidikan jasmani (kelas); pe ; sangat, ekstrim; berlebihan; banyak sekali; sejumlah besar, luar biasa; menakjubkan; luar biasa besar; sangat besar, berlebihan ; tokoh terkemuka; dasar ; pemakaman kekaisaran ; upacara pemakaman kaisar Jepang, Duka kekaisaran ; (di Tiongkok) nada ke-3 tangga nada kromatik kuno (kira-kira E), bulan lunar pertama ; jujube (Ziziphus jujube); tanggal Cina; tanggal merah"
"大層";"taisou";"sangat, ekstrim; berlebihan; banyak sekali; sejumlah besar, luar biasa; menakjubkan; luar biasa besar; sangat besar, berlebihan"
"大木";"taiboku";"pohon besar"
"たいりつ";"tairitsu";"konfrontasi; berlawanan; antagonisme"
"田植え";"taue";"penanaman padi"
"絶えず";"taezu";"selalu; terus menerus; stabil"
"高める";"takameru";"untuk meningkatkan; mengangkat"
"耕す";"tagayasu";"untuk mengolah; untuk membajak"
"たき";"taki";"tinggi; tinggi badan, panjang (khususnya pakaian), semua (yang dimiliki seseorang); semuanya, keagungan (dari puisi waka, dll.) ; penyimpangan; banyak perbedaan ; air terjun, jeram"
"たく";"taku";"meja, konter untuk meja, meja, dll., meja persembahan di depan altar (kadang-kadang digunakan dalam upacara minum teh), pembakar dupa di atas meja ; rumah, rumah seseorang, suaminya ; untuk memasak (biji-bijian, misalnya nasi), sampai mendidih; untuk mendidih; untuk merebus ; untuk membakar; untuk menyalakan; untuk menyalakan (api); untuk membuat (api), untuk memanaskan (mandi); untuk menyalakan (kompor); untuk menyalakan (ketel uap), untuk menggunakan (lampu kilat kamera) ; genta kayu (menandakan awal atau akhir pertunjukan) ; kertas murbei ; duo (lonceng Tiongkok kuno dengan genta dan gagang panjang), lonceng angin besar ; untuk membakar (usu. dupa) ; penghitung untuk pilihan, opsi, dll. ; prinsip kedelapan dari Delapan Prinsip Yong; guratan yang jatuh ke kanan dan menggemukkan di bagian bawah ; prinsip ketujuh dari Delapan Prinsip Yong; pukulan yang jatuh ke kiri dengan sedikit lengkungan ; anugerah; berkah; kebaikan; keuntungan ; memperluas; membuka; mendukung atau mendorong ; mempercayakan, mengandalkan; Komisi ; cuci, bilas; membersihkan ; untuk menahan dengan telapak tangan; untuk mendukung, mengandalkan ; batu giok Polandia; potong batu giok ; rawa"
"たくわえる";"takuwaeru";"menyimpan; untuk menabung; untuk menyimpan; menyisihkan, mengumpulkan (misalnya pengetahuan); untuk membangun (misalnya pengalaman); untuk mengembangkan (misalnya keterampilan seseorang), menumbuhkan (janggut, kumis, dll.); untuk dipakai ; ternak, hewan peliharaan"
"竹";"take";"bambu (rumput apa pun dari subfamili Bambusoideae), tengah (dari sistem peringkat tiga tingkat)"
"助かる";"tasukaru";"untuk diselamatkan; untuk bertahan hidup, untuk menghindari bahaya; untuk terhindar dari kerusakan, untuk ditolong; untuk diselamatkan dari masalah"
"畳む";"tatamu";"melipat (pakaian, payung), menutup (toko, bisnis), mengosongkan"
"ただ";"tada";"biasa; umum, gratis, tidak terpengaruh; dengan adanya; aman, saja; hanya; sederhananya, tetapi; Namun; namun demikian ; lurus; langsung ; roh bumi; (digunakan untuk U 53EA 只) saja, semata, tapi"
"ただし";"tadashi";"Tetapi; Namun; dengan ketentuan ; fajar; Pagi; hari"
"立ち止まる";"tachitomaru ; tachidomaru";"untuk berhenti (di jalur seseorang); untuk berhenti; untuk berhenti sejenak; untuk berdiri diam"
"たちまち";"tachimachi";"dalam sekejap; sebentar lagi; langsung; segera; sekaligus, tiba-tiba; semua sekaligus ; tidak lama lagi; tetaplah, tinggallah; lemah"
"発つ";"tatsu";"berdiri; naik; untuk berdiri, menemukan diri sendiri (misalnya dalam posisi yang sulit), untuk berangkat (di pesawat, kereta api, dll.)"
"建つ";"tatsu";"untuk didirikan; untuk dibangun"
"例える";"tatoeru";"untuk membandingkan (sesuatu) dengan; untuk menyamakan; untuk berbicara secara kiasan; untuk menggunakan perumpamaan; untuk menggunakan metafora"
"頼もしい";"tanomoshii";"dapat diandalkan; dapat dipercaya, penuh harapan; menjanjikan"
"足袋";"tabi";"tabi; Kaus kaki Jepang (dengan ujung terbelah)"
"たまる";"tamaru";"untuk mengumpulkan; berkumpul; untuk menyimpan; untuk menumpuk ; untuk ditabung (uang) ; untuk menanggung; untuk bertahan"
"ためいき";"tameiki";"mendesah ; kemarahan, sesak napas"
"ためらう";"tamerau";"ragu-ragu; untuk goyah"
"ためる";"tameru";"untuk mengumpulkan; untuk menyimpan, untuk meninggalkannya tanpa dibayar ; untuk membungkuk; untuk melatih (misalnya cabang) ; untuk meluruskan; membenarkan; untuk menyembuhkan, memalsukan ; untuk menabung (uang)"
"足る";"taru";"menjadi cukup, agar layak dilakukan; untuk menjadi layak; layak, untuk melakukan (pekerjaan); melayani; untuk menjawab"
"短期";"tanki";"jangka pendek"
"炭鉱";"tankou";"tambang batu bara; lubang (batubara), poros tambang batu bara"
"短所";"tansho";"cacat; kekurangan; titik lemah; kerugian"
"たんす";"tansu";"lemari berlaci; biro; kabinet; tansu; meja rias"
"たんすい";"tansui";"air tawar (yaitu bukan air asin) ; banjir; isian; penggenangan; tenggelam; penyumbatan"
"単数";"tansuu";"nomor tunggal"
"短編";"tanpen";"pendek (misalnya cerita, film)"
"田ぼ";"tanbo ; denbo";"sawah; peternakan"
"だいいち";"daiichi";"Pertama; terutama; nomor satu, paling penting, terbaik; terhebat; paling, di atas segalanya; di samping itu; dalam hal apapun; memulai dengan"
"大学院";"daigakuin";"lulusan sekolah"
"大工";"daiku";"tukang kayu"
"大小";"daishou";"ukuran, besar dan kecil (ukuran); berbagai ukuran, daishō (sepasang pedang panjang dan pendek), drum besar dan kecil, bulan panjang dan bulan pendek, sic bo (permainan dadu Macao); tai sai; dai siu; besar dan kecil"
"大分";"daibu ; daibun ; ooita";"sangat; banyak ; Ōita (kota, prefektur)"
"題名";"daimei";"judul; keterangan; menuju"
"代名詞";"daimeishi";"kata ganti, sinonim; contoh klasik; pola; pameo; perwakilan"
"だえん";"daen";"elips"
"だっせん";"dassen";"penggelinciran, penyimpangan; deviasi ; melompat kapal"
"だとう";"datou";"sah; sesuai; Kanan; wajar ; menggulingkan; mengalahkan; menjatuhkan; memukul jatuh"
"だます";"damasu";"untuk mengelabui; untuk menipu, membujuk; untuk membujuk; untuk menenangkan dan humor (humor)"
"だらしない";"darashinai";"jorok (penampilan, pekerjaan, dll); ceroboh; berantakan; tidak disiplin; longgar; kendur, lemah; berkemauan lemah; tidak punya nyali"
"段階";"dankai ; kizahashi ; kidahashi";"panggung; melangkah; tingkat fase, ; pangkat; nilai; gradasi, urutan, tangga ; tangga, tangga di depan panggung noh"
"断水";"dansui";"penghentian pasokan air; pemadaman air"
"団地";"danchi";"apartemen multi-unit; kompleks apartemen"
"断定";"dantei";"kesimpulan; keputusan; pertimbangan; pernyataan, afirmatif"
"ちかう";"chikau";"bersumpah; untuk mengambil sumpah; untuk berjanji"
"地下水";"chikasui";"air bawah tanah"
"ちかぢか";"chikadika";"segera; tak lama kemudian; dalam waktu dekat, dekat (pada); di dekat; di dekat sini"
"近付ける";"chikadukeru";"untuk mendekat; untuk mendekatkan; untuk melepaskan dekat, untuk bergaul dengan; untuk menyatukan (orang); untuk membiarkan mendekati (seseorang)"
"近寄る";"chikayoru";"untuk mendekati; untuk mendekat"
"力強い";"chikaraduyoi";"kuat, meyakinkan; memberi semangat"
"ちぎる";"chigiru";"untuk merobek berkeping-keping; untuk merobek-robek; merobek, memetik (misalnya buah); untuk memetik; untuk merobek, melakukan... berat; untuk melakukan... dengan sepenuh hati; untuk melakukan... dengan penuh semangat ; untuk berjanji; bersumpah; berjanji, untuk melakukan hubungan seksual (khususnya antara suami dan istri); untuk berbagi tempat tidur"
"地質";"chishitsu ; jishitsu";"fitur geologi ; kualitas kain atau kain; tekstur suatu kain"
"知人";"chijin";"teman; kenalan"
"地帯";"chitai";"daerah; sabuk (tanah)"
"ちぢむ";"chidimu";"menyusut; untuk kontrak; untuk mengurangi (dalam ukuran)"
"ちぢめる";"chidimeru";"untuk mempersingkat; untuk mengurangi; untuk mengembun; menyusut, menjadi remuk (kain); mengerut, membuat (tubuh) lebih kecil; untuk menarik (kaki seseorang); untuk menunduk (kepala seseorang)"
"ちぢれる";"chidireru";"menjadi bergelombang; untuk digulung; menjadi kusut"
"地点";"chiten";"lokasi; menunjuk pada peta; titik"
"地名";"chimei";"nama tempat; toponim"
"茶色い";"chairoi";"coklat muda; kuning kecoklatan"
"ちゃくちゃく";"chakuchaku";"stabil"
"ちゃわん";"chawan";"tempat nasi; cangkir teh"
"中間";"chuukan ; chuugen";"tengah; di pertengahan; setengah jalan; posisi tengah, tengah; posisi moderat; posisi netral; posisi tengah jalan, interim; perantara; intermediat; ujian tengah semester ; pelayan samurai; bujang"
"ちゅうしょう";"chuushou";"fitnah; mengolesi ; kecil dan sedang ; abstrak ; kata ganti mesioproksimal (menunjukkan kedekatan dengan pendengar, misalnya sore, soko, sochira) ; jiao tengah (dalam pengobatan tradisional Tiongkok); pembakar tengah"
"ちゅうじゅん";"chuujun";"pertengahan bulan; sepertiga kedua setiap bulan; tanggal 11 hingga 20 setiap bulannya ; kesetiaan dan kemurnian; kesetiaan yang tak tergoyahkan ; penghormatan"
"中世";"chuusei";"Abad Pertengahan (di Jepang khususnya periode Kamakura dan Muromachi); abad pertengahan; zaman abad pertengahan"
"中性";"chuusei";"netralitas (termasuk bahan kimia, listrik, dll.); ketidakpedulian, ketiadaan jenis kelamin; androgini; netral, gender netral"
"中途";"chuuto";"setengah jalan; di pertengahan; pertengahan kursus"
"中年";"chuunen";"paruh baya; usia pertengahan seseorang"
"超過";"chouka";"kelebihan; menjadi lebih dari"
