"愛";"ai ; mana";"Cinta; kasih sayang; perawatan, keterikatan; keinginan, agape, Irlandia ; kesayangan; Sayang"
"そう";"sou";"dengan cara itu; dengan demikian; seperti, begitu, begitu? ; untuk berlari bersama; untuk berlari ke samping; untuk berpegang pada (sebuah garis), untuk diikuti (kebijakan, rencana, dll.); untuk bertindak sesuai dengan; untuk menyelaraskan dengan, untuk memenuhi (keinginan, harapan, dll.); memuaskan; untuk mematuhi; untuk menghayati ; kiri dan kanan; kendali kanan dan kiri, (menegaskan); pengaruh; dominasi, pengikut seseorang; orang-orang yang menemani satu, (melayani di sisi seseorang), keraguan ; nama belakang; nama keluarga, gelar turun-temurun (digunakan di Jepang kuno untuk menunjukkan pangkat dan kedudukan politik) ; biarawan; pendeta, sangha (komunitas Buddha) ; pasangan ; kesetiaan; menghormati; keteguhan, kesucian (seorang wanita); kesetiaan (misalnya kepada suami) ; utuh; semua; umum; bruto; seluruh; keseluruhan ; untuk memenuhi (keinginan, harapan, dll); memuaskan; untuk mematuhi; untuk menghayati, untuk menemani; pergi bersama; untuk tinggal di sisi seseorang, untuk bergaul dengan (seseorang); untuk bergaul dengan, menikah; untuk menikah, untuk ditambahkan ; tampak bahwa; sepertinya; terlihat seperti; memiliki penampilan ; tubuh (dari biwa) ; alat musik tiup tradisional Jepang menyerupai panpipes; instrumen buluh bebas yang digunakan dalam musik istana Jepang ; counter untuk perahu (kecil). ; rumah bangsawan; vila ; Dinasti Song (Tiongkok; 960-1279); Dinasti Sung, Dinasti Liu Song (dari Tiongkok; 420-479); Dinasti Liu Sung, Lagu (negara Tiongkok kuno; abad ke-11-286 SM); Dinyanyikan ; semangat; kekuatan; keberanian; kejantanan, (khususnya pria) kejantanan seseorang (kira-kira usia 30), penghitung waktu moksibusi ; draf; salinan kasar, gaya yang sangat kursif (penulisan karakter Cina); gaya rumput ; pakaian; balutan, penjilidan (dari sebuah buku) ; berlari; balapan ; keranjang kukusan (biasanya terbuat dari tanah liat atau kayu), tong kukus (untuk mengukus nasi dalam produksi sake) ; kekusutan; rete ; pemerintahan mandiri lokal pedesaan (periode Muromachi) ; gerimis; hujan tersebar ; melapor kepada kaisar ; pria tua; tuan yang terhormat ; ruang istana untuk pejabat pemerintah, sesama; kumpulan (orang); klan; keluarga ; pemakaman ; mania ; asal; sumber, leluhur yang berbudi luhur ; berangkat; kirim, berikan ; berselisih, berkelahi, bersaing, berjuang ; masukkan, tempelkan; tanaman ; bahagia, ceria; menyegarkan ; bertemu ; kering, gersang; cepat marah ; melecehkan, mengganggu ; untuk menggulung sutra dari kepompong ; transportasi melalui air; transportasi kanal ; cerdas, pandai, cemerlang ; berkonsultasi, berunding; pilih ; besar; kokoh; nama suku ; untuk berselisih, bertarung, bersaing, berjuang ; sarang, tempat tinggal di pohon ; Pendeta Buddha, biksu ; strata, kelas sosial, loayer, cerita, lantai ; melecehkan, mengganggu, mengagetkan; sedih, berduka ; merasakan sakit, menderita ; terburu-buru, cepat, menjadi bingung ; berisik ; berputar, membuat sirkuit, membuat revolusi ; sedih, menyedihkan ; pilih, cubit, rangkum ; menggaruk, menyapu, menyisir, mendayung, memenggal kepala ; masukkan, tempelkan, tanam ; untuk menggaruk ; suara air mengalir ; laut ; mencuci ; gatal ; kumpulkan, secara keseluruhan, semuanya ; bijaksana, pembelajar yang cepat ; tahan (kapal) ; berteriak, berisik ; penyuapan ; mengumpulkan ; gong ; berpasangan, himpunan, perbandingan, penghitung berpasangan ; koto (kecapi Jepang dengan 13 senar), alat musik petik, zheng (kecapi Cina); guzheng ; menjadi, untuk melakukan ; duka, bencana; kemalangan ; lapisan; kelas tempat tidur, ; lapisan; mengurung; grup, berkas, penghitung untuk cerita (sebuah bangunan) ; pembuahan; ide; pikiran, samjna (persepsi) ; penampilan; Lihat; muka, 'tampak' yang dihubungkan oleh peramal dengan fase, aspek, keberuntungan seseorang (misalnya padat, cair, dan gas) ; hebat (yaitu cicit, nenek buyut)"
"そうおん";"souon";"kebisingan; keriuhan ; segera; Membaca lagu; tentang pembacaan kanji berdasarkan dinasti Song dan kemudian bahasa Cina (khususnya dalam kata-kata yang berhubungan dengan Buddhisme Zen) ; kebisingan; hiruk-pikuk"
"そうさ";"sousa";"penggeledahan (khususnya dalam investigasi kriminal); pertanyaan ; operasi; pengelolaan; penanganan, manipulasi (untuk keuntungan seseorang); manipulasi; mempengaruhi ; ya itu betul; ya; hal yang pasti ; pemindaian (misalnya TV); penjelajahan"
"そうじ";"souji";"pembersihan; luas; debu; penggosokan ; saudara kembar ; waktu tempuh (khususnya gelombang, guncangan gempa, dll.) ; bangku rendah ; konsentrasi; ketekunan; pengabdian, asketisme; semangat dalam pencarian pencerahan, kepatuhan terhadap pola makan vegetarian ; pendeta Buddha; kuil dengan pendeta residen ; kemiripan, kesamaan, analogi ; alamat perpisahan"
"そうぞう";"souzou";"penciptaan, Penciptaan (oleh Tuhan) ; imajinasi; anggapan; tebakan ; transmisi (gambar televisi); mengirim"
"相続";"souzoku";"suksesi; warisan"
"相談";"soudan";"konsultasi; diskusi; berdiskusi; meminta nasihat (seseorang)."
"そうち";"souchi";"peralatan; perangkat; instalasi, pengaturan panggung ; padang rumput ; mengirim; penerusan"
"相当";"soutou";"sesuai dengan (dalam arti, fungsi, dll); setara dengan, sesuai; cocok; proporsional, sebanding dengan; untuk menjaga; untuk menjadi layak; menjadi layak, cukup besar; substansial, sangat; lebih tepatnya; lumayan; secara adil; cantik"
"速度";"sokudo";"kecepatan; laju, kecepatan"
"そこ";"soko";"disana (tempat yang relatif dekat dengan pendengar), di sana (tempat yang baru saja disebutkan); tempat itu, lalu ​​(tentang suatu kejadian yang baru saja dibicarakan); itu (poin yang baru saja diangkat), kamu ; dasar; tunggal"
"そこで";"sokode";"Jadi; demikian; Sekarang; Kemudian; Karena itu"
"そしき";"soshiki";"organisasi; formasi, struktur; konstruksi; mempersiapkan; konstitusi, sistem (misalnya kereta api, transportasi, pesta, dll.), jaringan, tekstur (dari batu), tenunan (dari kain)"
"そして";"soshite";"Dan; kemudian; dengan demikian; dan sekarang; dan akhirnya"
"育つ";"sodatsu";"untuk dibesarkan (misalnya anak); untuk dibesarkan; tumbuh)"
"そっくり";"sokkuri";"semua; sama sekali; sepenuhnya, persis seperti; seperti; meludah gambar"
"そっと";"sotto";"dengan lembut; diam-diam; dengan ringan, diam-diam; secara rahasia, untuk dibiarkan sendiri; untuk pergi apa adanya ; muka bumi"
"そで";"sode";"lengan, sayap (panggung, meja, gerbang, dll.)"
"備える";"sonaeru";"untuk melengkapi; untuk menyediakan; untuk menginstal, untuk mempersiapkan; untuk membuat persiapan; untuk membuat ketentuan untuk, memiliki (semua yang diperlukan); untuk diberkahi; untuk dilengkapi dengan, untuk dilahirkan; untuk dimiliki sejak lahir"
"その";"sono";"itu; the, part (seperti dalam "bagian dua"), um...; eh... ; taman (khususnya buatan manusia); kebun buah-buahan; taman; perkebunan, tempat; lokasi ; kebun; taman, kebun buah-buahan ; kamu, kata ganti orang kedua ; kemewahan pertumbuhan"
"そのうち";"sonouchi";"tidak lama kemudian; segera; suatu hari nanti; cepat atau lambat, dari yang disebutkan sebelumnya; dari jumlah itu; diantara mereka; diantara yang lain"
"そのまま";"sonomama";"tanpa perubahan; sebagaimana adanya, seperti; sangat mirip, segera; sehabis; tanpa jeda"
"側";"soba ; soku ; hata ; gawa ; kawa ; katawara";"di dekat; menutup; di samping; sekitarnya; kedekatan; di samping itu; sementara, orang ketiga ; sisi (dari sesuatu, atau memihak seseorang); bagian, (jam tangan) kotak ; prinsip pertama dari Delapan Prinsip Yong; garis kecil atau bintik ; samping; tepian; di samping; di samping itu; di dekatnya, sambil (melakukan); sebagai tambahan; pada saat yang sama"
"そまつ";"somatsu";"mentah; kasar; polos; rendah hati; lusuh"
"それ";"sore";"itu, lalu; saat itu (dalam waktu); waktu itu, di sana, kamu ; di sana!; lihat!, lanjutkan!; Kanan!; ini dia!"
"それぞれ";"sorezore";"setiap; masing-masing"
"それでも";"soredemo";"tetapi tetap saja; dan lagi; namun demikian; walaupun demikian; meskipun"
"それと";"soreto";"kemudian; Selain itu; Juga; walaupun demikian"
"それとも";"soretomo";"atau"
"そん";"son";"itu; the, part (seperti dalam "bagian dua"), um...; eh... ; kehilangan; kerusakan; menyakiti; tidak menguntungkan, kerugian; rintangan; kekurangan; tidak menguntungkan ; desa ; xun (salah satu trigram I Ching: angin, tenggara) ; keturunan (biasanya dari generasi tertentu), garis keturunan; silsilah, cucu ; rendah hati; menghasilkan ; dugaan ; membuat, mempersiapkan, mengatur ; zun (wadah anggur Tiongkok kuno, biasanya terbuat dari perunggu), awalan kehormatan mengacu pada pendengar, penghitung untuk para Buddha"
"そんがい";"songai";"kerusakan; cedera; kehilangan"
"そんけい";"sonkei";"menghormati; menghargai ; kakak; orang lanjut usia"
"存在";"sonzai";"adanya; makhluk"
"そんちょう";"sonchou";"menghormati; menghargai; pandangan ; kepala desa; walikota desa ; atasan seseorang; senior seseorang"
"ぞう";"zou";"gajah (Elephantidae spp.) ; gambar; angka; patung; potret, gambar; membentuk; penampilan, gambar ; suku; klan; pita; keluarga, (taksonomi) suku, kelompok (dari tabel periodik) ; meningkatkan ; milik; kepemilikan, Tibet; orang Tibet ; miscellany (klasifikasi puisi Jepang yang tidak berhubungan dengan musim atau cinta) ; membangun, membuat, memulai; mempersiapkan ; benci; kebencian ; meningkatkan, menambah, memperoleh, mempromosikan ; organ dalam, jeroan ; tentu saja, tidak diragukan lagi ; jeroan; usus ; hakim, pejabat kelas 3 (sistem ritsuryo); asisten petugas distrik; inspektur"
"増加";"zouka";"meningkatkan; bangkit; pertumbuhan; tambahan; kenaikan"
"他";"ta ; hoka";"lainnya (khususnya orang dan hal-hal abstrak) ; lainnya (tempat, benda, orang); sisanya; dkk., luar; di luar, tidak ada kecuali; tidak ada, tapi; tidak lain adalah; tidak ada apa pun selain; tidak ada pilihan (selain), selain...; sebagai tambahan..."
"田";"ta";"sawah"
"対";"tai ; tsui";"di depan; oposisi, versus; vs.; v., ke (misalnya "memenangkan pertandingan lima lawan tiga"), kedudukan yang sama; persamaan, melawan...; anti-; ke arah...; ke... ; pasangan; set, antitesis, counter untuk barang-barang yang datang berpasangan, counter untuk set (pakaian, perabot kecil, perkakas, dll.)"
"体育";"taiiku ; taiku";"Pendidikan Jasmani; PE; gimnasium (kelas)"
"たいおん";"taion";"suhu; suhu tubuh (manusia, hewan)"
"大会";"taikai";"pertemuan massal; Konvensi; rapat umum; konferensi; perakitan; pertemuan, turnamen; kompetisi; kontes; bertemu, acara akbar"
"大気";"taiki";"suasana; udara, kemurahan hati"
"たいくつ";"taikutsu";"kebosanan; kebodohan, merasa bosan; bosan dengan; untuk bosan"
"たいざい";"taizai";"tinggal ; kejahatan serius; dosa besar"
"大使";"taishi";"duta besar"
"大した";"taishita";"besar; penting; kesepakatan besar"
"たいしょう";"taishou";"kontras; antitesis; perbandingan ; simetri, orang kedua ; target; objek (ibadah, belajar, dan lain-lain); subjek (pajak, dll.) ; kemenangan besar; kemenangan yang menghancurkan ; hadiah besar; hadiah utama ; Era Taishō (1912.7.30-1926.12.25); zaman Taisho ; umum; laksamana, kepala; ketua; pemimpin; bos; gembong, orang tua; pasangan; bos; ketua; pria, atlet yang berkompetisi pada pertandingan terakhir kompetisi beregu (kendo, judo, dll.) ; kafilah (pedagang) ; tawa keras; tertawa hangat ; spesifik (misalnya antibodi) ; reskrip kekaisaran"
"対する";"taisuru";"untuk saling berhadapan (satu sama lain); menghadap, diarahkan ke (masa depan, dsb.); untuk menanggapi; terkait dengan, untuk menerima (klien, dll.), untuk dibandingkan dengan; untuk kontras dengan; menjadi oposisi dengan; untuk menentang, menghadapi; untuk melawan; untuk bersaing dengan"
"大戦";"taisen";"perang besar; pertempuran hebat, perang dunia"
"たいてい";"taitei";"sebagian besar; biasanya; umumnya, mungkin, sebagian besar; hampir semuanya, biasa, pantas; sesuai; sedang ; meninggalkan pengadilan ; kaisar agung;... besar"
"たいど";"taido";"sikap; tata krama; perilaku, (terhadap suatu persoalan, dsb.); posisi; pendirian; berdiri ; kemurahan hati"
"大半";"taihan";"mayoritas; lebih dari setengah; sebagian besar, sebagian besar; terutama; hampir"
"大変";"taihen";"sangat, sangat besar; hebat, serius; kuburan; mengerikan; buruk, sulit; insiden besar yang sulit; bencana"
"たいほ";"taiho";"menangkap; penangkapan ; nama pribadi Anda ; Pelindung Agung (posisi terendah dari tiga posisi sipil teratas Dinasti Zhou), Menteri Kanan (pejabat pada periode Nara dan Heian) ; kemunduran; degenerasi; kemerosotan"
"太陽";"taiyou";"matahari"
"平ら";"taira ; daira";"datar; tingkat; bahkan; halus, tenang; tersusun; stabil, santai (postur duduk); nyaman, dataran tinggi; polos ; polos; dataran; dataran tinggi"
"たいりく";"tairiku";"benua, benua Asia (khususnya Tiongkok daratan), benua Eropa"
"倒す";"taosu ; kokasu";"untuk melempar; untuk menjatuhkan; untuk meledakkan; jatuh; untuk merobohkan; untuk meletakkan (sesuatu) pada sisinya; untuk membalikkan (sesuatu) pada sisinya; untuk berbaring (misalnya kursi), untuk membunuh; Untuk mengalahkan; untuk memukul, untuk menggulingkan; tersandung; untuk merusak, membiarkan tidak dibayar; untuk menipu ; untuk merobohkan; untuk menjatuhkan"
"たから";"takara";"harta karun ; berharga, langka"
"互い";"tagai";"satu sama lain"
"宅";"taku";"rumah, rumah seseorang, suaminya"
"確かめる";"tashikameru";"untuk memastikan; untuk memeriksa"
"多少";"tashou";"sedikit; beberapa; agak; sampai taraf tertentu; sampai batas tertentu, jumlah; kuantitas; nomor"
"助ける";"tasukeru";"untuk menyimpan; untuk menyelamatkan, untuk membantu, mendukung (secara finansial); untuk berkontribusi (untuk); untuk memberikan bantuan, untuk memfasilitasi; untuk menstimulasi; mempromosikan; untuk berkontribusi"
"戦い";"tatakai";"pertarungan; bertarung; perang; berjuang; konflik"
"戦う";"tatakau";"untuk berperang (aktif); untuk berperang (melawan); untuk berperang (dengan); untuk bertarung (dengan); berperang (melawan), bersaing (melawan), berjuang (melawan kesulitan, dsb.); untuk bertarung; untuk bersaing; untuk menolak"
"たたく";"tataku";"untuk menyerang; bertepuk tangan; untuk mengetuk; untuk mengalahkan; menepuk, memainkan drum, menyalahgunakan; untuk menampar; menyala (misalnya di Internet); untuk menghina, berkonsultasi; untuk bersuara, untuk menyombongkan diri; untuk berbicara besar, menelepon; untuk dipanggil (misalnya suatu fungsi)"
"ただ";"tada";"biasa; umum, gratis, tidak terpengaruh; dengan adanya; aman, saja; hanya; sederhananya, tetapi; Namun; namun demikian ; lurus; langsung ; roh bumi; (digunakan untuk U 53EA 只) saja, semata, tapi"
"直ちに";"tadachini";"sekaligus; langsung; segera; tanpa penundaan, langsung (menghadapi, mengarahkan ke, dsb.); secara otomatis (rata-rata, hasil, dll.)"
"立ち上がる";"tachiagaru";"untuk berdiri; untuk bangun, bangkit, untuk pulih, untuk mengambil tindakan; untuk memulai, untuk melakukan tagihan awal, untuk memulai; untuk boot"
"立場";"tachiba ; tateba";"posisi; situasi, sudut pandang; sudut ; tempat pemberhentian kereta kuda dan becak (zaman Edo); tempat peristirahatan jalan raya, pedagang kain perca grosir"
"達する";"tassuru";"untuk mencapai; untuk sampai ke; untuk tiba di"
"たった";"tatta";"hanya; Tetapi; tidak lebih dari"
"たっぷり";"tappuri";"penuh; dalam jumlah banyak; cukup"
"経つ";"tatsu";"untuk melewati (waktu); berlalu"
"たて";"tate";"vertikal; tinggi, depan ke belakang; panjang, utara-selatan, vertikal (hubungan); hierarki, (menenun) lungsin ; tameng; pembelaan; perisai yg berlukiskan lambang; dalih ; pusat; utama; kepala, baru saja (selesai); baru dari pemanggangan); menunjukkan aktivitas baru saja terjadi, penghitung kerugian berturut-turut ; kontrak; komitmen ; memanjakan diri, memberikan kebebasan memerintah ; vertikal, Nak ; garam ; rumah besar; istana; rumah milik bangsawan; kastil, bangsawan; bangsawan wanita; pejabat, kabin (di atas kapal, kereta, dll.) ; pertarungan pedang (dipentaskan untuk televisi, dll.); pertarungan pedang"
"たとえ";"tatoe";"contoh, perumpamaan; metafora; alegori; fabel ; bahkan jika; apa pun yang terjadi; meskipun; seandainya; -pernah"
"たに";"tani";"lembah"
"他人";"tanin ; hito ; adabito";"orang lain, orang yang tidak mempunyai hubungan darah (yaitu tidak mempunyai hubungan darah), orang luar; lebih aneh"
"種";"tane ; kusa ; shu";"benih (misalnya tanaman); pip; baik; variasi; kualitas; nada, bahan (misalnya untuk artikel); materi (misalnya sebuah cerita); subjek; tema; (berita) salinan, bahan; ragi (roti); bahan utama penyebab sushi, ; sumber, trik; rahasia; trik pesulap; cerita di dalam, darah ayah; garis keturunan, keturunan (dari suatu ternak); sperma; air mani, kartu 10 poin; tan; kartu binatang ; menyebabkan; benih; asal, variasi; jenis, penghitung untuk varietas ; baik; keanekaragaman, (biologis) spesies, (logis) spesies"
"束";"taba ; soku ; tsuka";"bundel; kelompok; gabung ; kisi, penghitung untuk bungkusan besar (misalnya 10 ikat beras, 200 lembar kertas kaligrafi, 20 anak panah peluit, 100 ikan), lebar tangan (satuan untuk mengukur panjang anak panah) ; topangan; tiang vertikal pendek, ketebalan (buku dikurangi sampul, selembar kertas, dll.), lebar tangan; bundel"
"旅";"tabi ; ryo";"bepergian; perjalanan ; Batalyon beranggotakan 500 orang (tentara Tiongkok Dinasti Zhou)"
"度";"tabi ; tanbi ; do";"waktu (tiga kali, setiap kali, dll.) ; derajat (sudut, suhu, skala, dll.), penghitung kemunculan, kekuatan (kacamata); resep kacamata, kandungan alkohol (persentase); alkohol berdasarkan volume, tingkat; derajat; batas, kehadiran pikiran; ketenangan"
"たびたび";"tabitabi";"sering; lagi dan lagi; berkali-kali"
"多分";"tabun";"mungkin, murah hati; banyak; Besar"
"たま";"tama";"bola; bola dunia, manik (dari keringat, embun, dll.); menjatuhkan; tetesan, bola (dalam olahraga), tumpukan (mie, dll.), peluru, bohlam (yaitu bola lampu), lensa (kacamata, dll.), manik-manik (sempoa), bola (yaitu testis), permata; permata (khususnya berbentuk bola; terkadang digunakan secara kiasan); mutiara, penghibur wanita (misalnya geisha), orang (saat mengomentari sifatnya); karakter, barang, dana atau orang yang digunakan sebagai bagian dari plot, telur, koin, berharga; cantik; bagus sekali ; jiwa; roh ; sesekali; jarang; langka ; giok menunjuk ke atas ; batu giok yang berharga ; pelet, peluru, tembakan, cangkang ; (Kuno) sejenis batu giok, porfirit ; aneh ; permata merah, permata yang indah"
"偶";"tamatama ; guu";"kadang-kadang; sesekali; jarang, dengan santai; tiba-tiba; secara tidak sengaja; kebetulan ; sesekali; jarang; langka ; nomor genap, pasangan"
"たまたま";"tamatama";"kadang-kadang; sesekali; jarang, dengan santai; tiba-tiba; secara tidak sengaja; kebetulan ; testis"
"たまらない";"tamaranai";"tak tertahankan, tak tertahankan; luar biasa besar; keluar dari dunia ini, tidak dapat menolong (melakukan); tidak bisa tidak melakukan; ingin sekali melakukannya"
"試し";"tameshi";"uji coba; tes"
"試す";"tamesu";"untuk mencoba; untuk mengetes"
"便り";"tayori ; dayori";"berita; kabar; informasi; korespondensi; surat"
"頼る";"tayoru";"untuk diandalkan; tergantung; untuk berpaling ke (untuk bantuan)"
"単位";"tan'i";"satuan; denominasi, kredit (di sekolah), dalam satuan (misalnya "dalam ribuan"); dalam jumlah"
"単語";"tango";"kata; kosakata"
"たんじゅん";"tanjun";"sederhana; polos; tidak rumit; mudah; berpikiran sederhana; naif"
"たんじょう";"tanjou";"kelahiran; penciptaan; pembentukan"
"たんとう";"tantou";"menjadi penanggung jawab (atas suatu bidang tanggung jawab); bertanggung jawab (untuk peran pekerjaan, dll.) ; satu barel; berlaras tunggal ; brachycephaly ; monosakarida ; pedang pendek; pisau; belati; beladau; tanto"
"単なる";"tannaru";"belaka; sederhana"
"単に";"tanni";"secara sederhana; hanya; semata-mata"
"台";"dai ; utena ; tai";"berdiri; rak; meja; bangku; mimbar; alas; platform; panggung, dukungan; pemegang; rak, penghitung untuk mesin, termasuk. kendaraan, pengaturan (misalnya dalam perhiasan), tingkat (misalnya tingkat harga); jangkauan (misalnya setelah unit fisik); periode (waktu, misalnya satu dekade kehidupan seseorang), area yang ditinggikan, platform pengamatan, baki piring, makanan, gedung tinggi; menara ; menara, berdiri; alas, kelopak ; Taiwan"
"題";"dai";"judul; subjek; tema; topik, masalah (pada ujian); pertanyaan, penghitung untuk pertanyaan (pada ujian)"
"代金";"daikin";"harga; biaya; mengenakan biaya; pembayaran; tagihan"
"だいじん";"daijin";"menteri kabinet ; Tuhan ; orang kaya; jutawan; raja, pemboros besar; orang gasang"
"だいとうりょう";"daitouryou";"presiden (suatu bangsa), orang besar; bos; sobat; pasangan"
"代表";"daihyou";"perwakilan; delegasi; jenis; contoh; model, pemimpin, nomor papan saklar; nomor utama"
"大部分";"daibubun";"sebagian besar; mayoritas"
"代理";"dairi";"perwakilan; agen; wakil; pengacara; pengganti; bergantian; akting (kepala sekolah, dll.)"
"だから";"dakara";"Jadi; Karena itu; demikian; akibatnya; atas dasar itu; itulah mengapa; untuk alasan itu, seperti yang saya katakan; Aku sudah bilang padamu"
"だが";"daga";"Tetapi; Namun; dan lagi; namun demikian; tetap; untuk semua itu"
"抱く";"daku ; idaku ; udaku";"untuk menggendong (misalnya bayi); untuk merangkul; untuk memeluk, berhubungan seks; untuk bercinta; untuk tidur dengan, duduk (telur); untuk merenung ; untuk menggendong (misalnya bayi); untuk merangkul; untuk memeluk, memiliki (pikiran atau perasaan); untuk memegang; untuk memendam (kecurigaan, keraguan, dll); ke pelabuhan; untuk menanggung (dendam, niat buruk, dll.); untuk menghibur (harapan, ilusi, dll.); untuk dihargai (misalnya ambisi) ; untuk menggendong (misalnya bayi); untuk merangkul; memeluk"
"だけど";"dakedo";"Namun"
"だって";"datte";"Lagipula; karena, tapi, bahkan, juga; demikian juga, mereka berkata; saya mendengar; maksud Anda"
"だまる";"damaru";"untuk diam; untuk tidak berkata apa-apa"
"だめ";"dame";"tidak baik; tidak memenuhi tujuannya; tidak berguna; rusak, putus asa; sia-sia; tanpa tujuan, tidak bisa; tidak harus; tidak diperbolehkan, titik netral (dalam perjalanan); persimpangan yang dimiliki oleh tidak ada pemain di akhir permainan"
"だれか";"dareka";"seseorang"
"段";"dan ; tan";"melangkah; anak tangga; (penerbangan) langkah; (barisan) jahitan; kolom (cetakan), nilai; pangkat; level, penghitung jeda dalam bahasa tertulis (atau ucapan, dll.), dan; peringkat senior dalam seni bela diri, go, shogi, dll. ; ukuran kain yang bervariasi (lebar 28,8 cm); untuk kimono: panjangnya minimal 10 m; untuk haori: panjangnya minimal 7,27 m; untuk pakaian lainnya: panjang minimal 6,06 m, 300 tsubo (991,74 meter persegi, 0,24506 hektar), enam ken (10,91 m)"
"男子";"danshi";"laki-laki, laki-laki; pria"
"だんたい";"dantai";"kelompok; berpesta; tim, organisasi; asosiasi; kelompok; tubuh; masyarakat ; subtropis ; pemain bandolier; pemain bandoleer; sabuk amunisi, pita penggerak (dari cangkang atau peluru); pita berputar"
"地";"chi ; ji ; tsushi ; tsuchi";"bumi; tanah, tempat, wilayah, bawah (paket, buku, dll.), bumi (salah satu dari lima elemen) ; tanah; bumi, wilayah yang bersangkutan; area setempat, kulit, tekstur; kain; bahan; menenun, dasar; latar belakang, sifat asli seseorang, narasi (yaitu bagian deskriptif dari sebuah cerita), kehidupan nyata; aktualitas, wilayah yang ditangkap (dalam permainan go), noh chorus, musik pengiring (dalam tarian Jepang), frasa dasar (dalam musik Jepang; biasanya berulang-ulang), bagian dasar (dari beberapa shamisen) ; bumi; tanah; kotoran; tanah liat; lumpur, bumi (secara historis, khususnya sebagai lawan dari langit); tanah, torinoko-gami berkualitas rendah (mengandung lumpur), (periode) tidak melakukan pembangunan sesuai arahan dewa bumi (dalam Onmyōdō)"
"地位";"chii";"(posisi sosial; status; kedudukan, jabatan (dalam suatu perusahaan, organisasi, dll); pos; pangkat"
"ちいき";"chiiki";"daerah; wilayah ; rentang (dari suatu fungsi atau relasi)"
"ちえ";"chie";"kebijaksanaan; akal; nalar; kecerdasan, prajna (wawasan menuju pencerahan) ; banyak lapisan; banyak tumpukan"
"地下";"chika";"bawah tanah; di bawah tanah, dunia orang mati; kuburan, bawah tanah (kegiatan, pergerakan, dll); rahasia; liar; di persembunyian"
"ちかごろ";"chikagoro";"akhir-akhir ini; baru-baru ini; dewasa ini"
"違い";"chigai";"perbedaan; ketidaksesuaian, kesalahan"
"違いない";"chigainai";"Tentu; tidak salah lagi; pastinya; Tanpa ragu"
"地球";"chikyuu";"Bumi; dunia"
"ちく";"chiku";"daerah; bagian; sektor ; ... tahun sejak konstruksi;... tahun (sebuah bangunan), dibangun di... ; mengejar, mengusir; satu per satu ; ternak, hewan peliharaan ; menyimpan, menimbun, mengumpulkan ; kecapi kuno; membangun ; berlari berkeliling dengan menunggang kuda; berlarian; mengerahkan diri sendiri (untuk orang lain)"
"遅刻";"chikoku";"keterlambatan; datang terlambat"
"知識";"chishiki";"pengetahuan; informasi"
"知事";"chiji";"gubernur prefektur"
"父親";"chichioya";"ayah"
"知能";"chinou";"intelijen; intelek; otak"
"ちへいせん";"chiheisen";"cakrawala (terkait dengan daratan)"
"地方";"chihou ; jikata";"daerah; wilayah; lokalitas, negara; pedesaan; provinsi; daerah pedesaan, masyarakat sipil ; penanggung jawab musik (dalam pertunjukan tari Jepang), orang yang menyanyikan balada (di noh), pantai (khususnya jika dilihat dari air); pantai, negara; pedesaan; provinsi; daerah pedesaan"
"茶";"cha";"teh, tanaman teh (Camellia sinensis), penyiapan teh; membuat teh, coklat, ejekan"
"ちゃんと";"chanto";"rajin; dengan serius; dengan sungguh-sungguh; andal; stabil; secara sah, dengan sempurna; dengan baik; tepat; tertib; tepat waktu; secara teratur; dengan aman; dalam keadaan baik, cukup; memuaskan, dengan cepat"
"注";"chuu";"anotasi; catatan penjelasan; komentar"
"ちゅうおう";"chuuou";"tengah; jantung, modal; pusat pemerintahan ; Eropa Tengah"
"中学";"chuugaku";"sekolah menengah pertama; sekolah Menengah"
"中古";"chuuko ; chuuburu";"digunakan; tangan kedua; tua, Abad Pertengahan (di Jepang khususnya periode Heian)"
"中止";"chuushi";"penangguhan; penghentian; gangguan"
"ちゅうしゃ";"chuusha";"injeksi; tusukan; tembakan ; parkir (misalnya mobil)"
"昼食";"chuushoku ; chuujiki ; hiruge";"makan siang, makanan yang disajikan di pesta teh (upacara minum teh)"
"中心";"chuushin ; nakago";"tengah; jantung; inti; fokus; poros; tekanan; keseimbangan, -berpusat; -fokus; -berorientasi; berpusat pada; terfokus pada ; inti, tang (pedang, dll.), tengah sarang kotak"
"注目";"chuumoku";"melihat; Perhatian; pengamatan"
"注文";"chuumon ; chuubun";"pesanan (untuk suatu barang), permintaan; tuntutan; kondisi ; anotasi; catatan penjelasan"
"長期";"chouki";"jangka panjang"
"ちょうさ";"chousa";"penyelidikan; pertanyaan; survei ; rentang pasang surut"
"調子";"choushi";"lagu; nada; kunci; melempar; waktu; ritme, vena; suasana hati; jalan; tata krama; gaya; kondisi bakat; keadaan kesehatan, dorongan; mendadak; ketegangan, tren"
"頂上";"choujou";"atas; puncak"
"ちょうだい";"choudai";"menerima; penerimaan; mendapatkan; diberikan, makan; minum; memiliki, tolong; tolong lakukan untukku ; panjang dan besar; tinggi dan besar; agung; sangat besar ; platform tidur bertirai di tempat tinggal bergaya shinden (digunakan oleh orang-orang berpangkat tinggi) ; membantu pejabat kota (zaman Edo)"
"ちょきん";"chokin";"menyisihkan uang; tabungan; deposit (misalnya di bank), akumulasi surplus kemenangan; menang di bank"
