"会う";"au";"bertemu; untuk menghadapi; untuk melihat, mengalami kecelakaan; untuk mendapatkan pengalaman buruk"
"さく";"saku";"merobek; untuk merobek, memotong; untuk membelah; untuk membelah (khususnya bagian perut), untuk memisahkan secara paksa (misalnya dua kekasih), untuk meluangkan waktu (waktu, uang, dll.); menggunakan bagian dari sesuatu, untuk membuat tato di sudut mata ; mekar; berbunga; membuka ; karya (misalnya seni); produksi, panen; penanaman; pertanian; tanaman; teknik hasil ; pagar, benteng ; rencana; kebijakan; cara; ukuran; tipu; skema, prinsip kelima dari Delapan Prinsip Yong; jentikkan ke kanan ; bulan baru, hari pertama bulan lunar, kalender dan keputusan tahun depan (di Tiongkok kuno; didistribusikan oleh Kaisar pada akhir tahun) ; jue (kendi anggur Tiongkok kuno berkaki 3, biasanya terbuat dari perunggu), kebangsawanan (gelar turun-temurun yang diberikan oleh kaisar) ; kapsul (sporangium lumut), kapsul (jenis buah yang pecah-pecah) ; tikar (terbuat dari potongan bambu atau alang-alang yang diikat menjadi satu) ; dekrit kekaisaran untuk menganugerahkan gelar bangsawan (di Tiongkok kuno) ; blok (biasanya ikan untuk sashimi) ; hancurkan dengan tangan, tekan, remas, ekstrak ; sempit; berpikiran sempit ; tebal (rumput) ; memarahi, menyiksa, menghukum ; untuk berpisah, untuk memecah, untuk membuka ; pesawat; mengasah; mengurangi; mencukur (kulit); mengikis; mencoret ; terakhir (tahun); Kemarin ; tali ; menghindari"
"さくぶん";"sakubun";"menulis (esai, prosa, dll); komposisi, tulisan formal dengan sedikit makna sebenarnya"
"さす";"sasu";"bersinar, terlihat, diwarnai, naiknya (ketinggian air); mengalir masuk, untuk dirasakan (yaitu sebagai emosi); untuk datang, untuk memegang (payung, dll.); untuk memasang; untuk mengangkat, mengulurkan lengan lurus ke depan (dalam tarian), memasukkan; untuk memasukkan, memakai (pedang) di ikat pinggangnya; untuk dipakai di sisi seseorang; membawa di bawah lengan, memasukkan lengan ke bawah lengan lawan, ke tiang (perahu), menuangkan; untuk menambahkan (cair); untuk menyajikan (minuman), untuk dipakai (lipstik, dll.); untuk melamar; mewarnai; untuk mewarnai, menerangi (api); untuk membakar, menutup; untuk menutup; untuk mengunci; untuk mengencangkan, untuk berhenti di tengah-tengah; untuk pergi dibatalkan ; untuk menembus; menusuk; untuk menusuk; untuk tetap; untuk mendorong, menyengat; menggigit, menjahit; untuk menjahit; menyulam, menjadi tiang (perahu), menangkap (dengan tiang berkapur), menyingkirkan (pelari); untuk memilih ; menunjuk, menominasikan; untuk memilih seseorang; untuk menentukan seseorang, untuk diidentifikasi; mengindikasikan; untuk menunjukkan, bermain (permainan shogi); untuk menggerakkan (sepotong), merentangkan tangan lurus ke depan (dalam tarian) ; untuk menuangkan; untuk menambahkan (cair); untuk menyajikan (minuman), untuk dipakai (lipstik, dll.); untuk melamar; mewarnai; untuk mewarnai, menerangi (api); untuk membakar ; untuk menyengat (yaitu lebah, tawon, dll.) ; untuk membuat (seseorang) melakukan, untuk mengizinkan (seseorang) untuk, membiarkan; untuk memungkinkan; menyebabkan, diizinkan, melakukan, berpindah ; ancaman ; gosong; beting; kawanan ; untuk memasukkan; untuk dimasukkan, untuk ditanam (stek); menyerang, merangkai (bunga), memakai (pedang) di ikat pinggang, untuk menutup; untuk mengunci; untuk mengencangkan ; menutup; untuk menutup; untuk mengencangkan; mengunci, untuk memblokir (jalan, pintu masuk, dll.), untuk menutup (dengan salju, es, dll.); untuk mematikan; untuk memotong; untuk menutupi (misalnya dalam kegelapan), untuk mengkonsumsi (dengan perasaan negatif); untuk mengisi (misalnya dengan kesedihan); untuk mengubur (misalnya dalam kesedihan)"
"さとう";"satou";"gula ; gradasi ; peminum; orang yang gemar alkohol, partai sayap kiri"
"さむい";"samui";"dingin (misalnya cuaca), tidak menarik (khususnya lelucon); cacat; membosankan; lemah; dangkal ; sama; pakaian kerja biksu"
"さ来年";"sarainen";"tahun demi tahun berikutnya"
"三";"san ; mi";"tiga; 3"
"さんぽ";"sanpo";"berjalan; berjalan-jalan"
"ざっし";"zasshi";"jurnal; majalah; berkala"
"し";"shi";"puisi; ayat, puisi Cina ; makanan; bahan makanan, makan; nafsu makan, makan; bagian ; sejarah ; Tn; Nyonya; MS; Nona, klan, dia, melawan orang ; kota ; kematian; mati, (an) keluar, hukuman mati (dengan pencekikan atau pemenggalan kepala; yang paling berat dari lima hukuman ritsuryō) ; majalah ; Ular (tanda keenam zodiak Tiongkok); jam Ular, jam Ular (sekitar pukul 10.00, 09.00-11.00, atau 10.00-12 siang), tenggara, bulan keempat kalender lunar ; empat; 4 ; mayat, kanji "mayat" radikal ; guru; menguasai; mentor seseorang, pemimpin agama, spesialis, brigade lima batalion yang terdiri dari 2.500 orang (tentara Tiongkok Dinasti Zhou) ; melawan benda yang panjang dan tipis (misalnya pedang) ; Dan; di samping itu; lebih-lebih lagi; apalagi; tidak hanya... tetapi juga, karena, masalahnya adalah; untuk satu hal ; utas, 0,0001; sepersepuluh ribu ; itu, kamu, dirimu sendiri; diri mereka sendiri ; Dermaga Jepang (tanaman) (Rumex japonicus) ; anak (khususnya laki-laki), viscount, pendiri aliran pemikiran (khususnya Konfusius); master, master dan filsuf (kategorisasi sastra klasik Tiongkok), you, -er (yaitu pria yang menghabiskan seluruh waktunya melakukan...) ; Konstelasi "Paruh Penyu" Tiongkok (salah satu dari 28 rumah besar) ; kantor (departemen pemerintah di bawah biro di bawah sistem ritsuryō) ; akhiran kehormatan digunakan setelah nama wanita yang statusnya setara atau lebih tinggi ; zhi (cangkir Cina kuno berbentuk mangkuk besar dengan dua pegangan) ; melihat sebagai...; memperlakukan sebagai...; mengenai sebagai... ; ke... ; kata-kata; menulis; lirik, ci (bentuk puisi Tiongkok), kata mandiri ; 10^24; septillion ; utusan, kepala polisi dan pengadilan (periode Heian dan Kamakura), klesha (mencemari pikiran seperti keserakahan, kebencian dan khayalan, yang mengakibatkan penderitaan) ; Birch ceri Jepang (Betula grossa), catalpa kuning (Catalpa ovata), mallotus Jepang (Mallotus japonicus), blok cetak, busur catalpa, catalpa medium ; urusan pribadi; hal pribadi ; koran ; laki-laki (khususnya orang yang dihormati), samurai, orang (dalam profesi tertentu, khususnya berlisensi); anggota ; pengujian; percobaan; penyelidikan; uji coba ; dana; modal, bahan; dasar, karakter; kualitas; watak ; usia gigi, ; bertahun-tahun ; suksesi; penerus ; kereta empat kuda; tim yang terdiri dari empat kuda ; nama anumerta; gelar anumerta ; telah melakukan; telah melakukan ; pikirkan, pertimbangkan, renungkan; partikel terakhir ; berhenti; menahan ; mulai; kemudian, hanya kemudian ; beternak hewan; memberi makan; memelihara ; kebahagiaan, berkah, semoga sukses ; rendam, curam; pewarna; noda; basah kuyup ; tulus, hangat, ramah; nama belakang ; berkonsultasi, berunding; berkomunikasi di ; jadilah rajin mungkin ; ini, dengan demikian, itu; untuk memotong; partikel yang tegas ; singa ; inspeksi, anggap sebagai, lihat ; kemewahan, kebanggaan ; tunggu, tergantung pada ; menyelidiki ; tak tertandingi, semata-mata ; seperti, rasa, sederhana ; tertawa, mengejek ; bergerak ; duri ; kultus, menunjukkan radikal (no. 113) ; mengabadikan, beribadah ; benang ; pakaian hitam, pendeta ; bajak ; angelica, jenis iris ; bodoh, bodoh sekali ; mengintip, terlihat ; kacang fermentasi ; gerobak, gerobak berkanopi ; resmi; Pamong Praja ; kartu telepon"
"しお";"shio";"gelombang pasang; arus, air laut, peluang; kebetulan, sup encer ikan atau kerang direbus dalam air laut ; garam; garam biasa; garam dapur; natrium klorida, kesulitan; bekerja keras; masalah, rasa asin, dingin; tidak ramah; cuek ; counter untuk perendaman (dari kain yang diberi pewarna)"
"しかし";"shikashi";"Namun; Tetapi ; pelacur"
"しごと";"shigoto";"bekerja; pekerjaan; tenaga kerja; bisnis; tugas; penugasan, pekerjaan"
"しずか";"shizuka";"diam, lambat; tidak tergesa-gesa, tenang"
"下手";"shitate ; shitade ; heta ; shimote";"posisi rendah hati; cengkeraman inferior, ketiak pada sabuk lawan ; tidak terampil; miskin; canggung, tidak bijaksana ; bagian bawah; kaki; arah bawah, bagian kiri panggung (POV penonton atau kamera); panggung kanan (POV aktor)"
"七";"shichi ; nana ; chii";"tujuh"
"しつもん";"shitsumon";"pertanyaan"
"しぬ";"shinu";"untuk mati; meninggal dunia, kehilangan semangat; kehilangan kekuatan; tampak mati, berhenti; untuk berhenti ; bambu kerdil bertangkai tipis (tumbuh berkelompok), Seruling bambu melintang Jepang (bernada tinggi; biasanya berlubang tujuh), sliver (untaian serabut lepas)"
"しまる";"shimaru";"untuk ditutup; untuk menutup; menjadi tertutup, menjadi tegas (tubuh, wajah, dll.); menjadi rajutan yang baik, untuk dikunci, untuk mengencangkan; menjadi tegang, menjadi sadar; menjadi tegang ; untuk dicekik; menjadi terbatas"
"しめる";"shimeru";"menjadi lembab; menjadi basah, kekurangan energi; berada dalam keterpurukan; menjadi tidak bersemangat; merasa tertekan ; untuk menempati; untuk meminta pertanggungjawaban; untuk membuat; untuk mengambil ; untuk mengikat; untuk mengencangkan, untuk memakai (dasi, ikat pinggang); untuk memakai, to total; untuk menjumlahkan, menjadi ketat dengan, menghemat; untuk menghemat; untuk mengurangi, garam; untuk mengasinkan; untuk membuat acar; untuk membuat sushi menambahkan campuran cuka dan garam, untuk membunuh (ikan, unggas, dll.) ; untuk menutup; menutup ; untuk membuat; membiarkan ; total; untuk menjumlahkan, membunuh (ikan, unggas, dll.) ; untuk bersikap tegas ; untuk mencekik; untuk menyempitkan"
"しゃしん";"shashin";"foto; gambar; cuplikan, gambar bergerak; film ; meninggalkan kedagingan atau dunia; menjadi seorang pendeta; mempertaruhkan nyawanya demi orang lain"
"しゅくだい";"shukudai";"pekerjaan rumah; tugas, masalah yang tertunda; masalah yang belum terselesaikan; pertanyaan terbuka"
"しょうゆ";"shouyu";"kecap; shoyu"
"しょくどう";"shokudou";"ruang makan; kafetaria; kantin, restoran; bar makanan ringan ; kerongkongan; tenggorokan"
"しる";"shiru";"jus; getah, sup; kaldu, (mencelupkan) saus ; untuk mengetahui; untuk menyadari (tentang); untuk menjadi sadar (akan); untuk belajar (dari); untuk mencari tahu; untuk menemukan, merasakan; untuk merasakan; untuk memperhatikan; untuk menyadari, untuk memahami; untuk menghargai, mengingat; untuk akrab dengan; untuk mengenal, mengalami; untuk melewati; mengetahui (misalnya kesulitan), berkenalan dengan (seseorang); untuk mengetahui, hubungannya dengan; untuk diperhatikan; menjadi perhatian seseorang; menjadi tanggung jawab seseorang"
"しろ";"shiro";"Kastil ; putih, tidak bersalah; orang yang tidak bersalah, ruang kosong, batu go putih, ubin naga putih, usus babi panggang yang ditusuk ; substitusi, bahan, harga, margin (misalnya untuk stapel, dll.); luas yang dibutuhkan untuk sesuatu, shiro (satuan luas tanah sama dengan seperlima puluh tan; kira-kira 19,83 m.sq.)"
"しろい";"shiroi";"putih"
"新聞";"shinbun";"koran"
"時間";"jikan";"waktu, jam, periode; kelas; pelajaran"
"じしょ";"jisho";"kamus; leksikon, surat pengunduran diri ; tulisan sendiri ; tanda tangan ; dokumen dengan stempel kaisar ; perkebunan; sepetak tanah ; kamus karakter Cina; kamus kanji, kamus"
"じてんしゃ";"jitensha";"sepeda ; pemenang kedua"
"じどうしゃ";"jidousha";"mobil; kendaraan bermotor"
"じびき";"jibiki";"kamus ; penangkapan ikan pukat; pukat, pukat; jaring pukat ; orang yang memainkan shamisen saat latihan menari, iringan shamisen"
"じぶん";"jibun";"saya sendiri; dirimu sendiri; diri; dirinya sendiri, saya; aku, kamu ; sastra modern ; waktu; jam; musim; waktu dalam setahun"
"じゃ";"ja";"ular, ular; ular besar ; Kemudian; Sehat; Jadi; Baiklah kalau begitu ; kejahatan; orang jahat ; menjadi; adalah"
"じゃあ";"jaa";"Kemudian; Sehat; Jadi; Baiklah kalau begitu"
"中";"juu ; dyuu ; naka ; chuu ; chun ; uchi";"melalui; selama; dalam perjalanan, di seluruh atau di seluruh (misalnya suatu tempat) ; di dalam; interior, di antara; dalam, tengah; pusat, selama; ketika; tengah; di tengah, interval; celah, berarti; rata-rata, detik (dari tiga, misalnya putra, volume); kelas menengah, menengah; kualitas sedang, distrik lampu merah ; sedang; rata-rata; menengah, moderasi, sekolah menengah, China, jilid dua (dari tiga), selama (waktu tertentu ketika seseorang melakukan atau sedang melakukan sesuatu); di bawah (konstruksi, dll); sementara, di; dari ; ubin naga merah, tangan pemenang dengan pung (atau kong) ubin naga merah ; di dalam; dalam, saat (misalnya seseorang masih muda); selama; dalam waktu (misalnya sehari); dalam perjalanan, di antara; diantara; (dari; antara, dalam (rahasia, kekacauan, kemiskinan, dll); di tengah; dengan (misalnya kesuksesan), di dalam diri sendiri; perasaan seseorang; pikiran batin, kita; perusahaan kita; organisasi kami, rumah seseorang; keluarga seseorang, pasangan saya; suami saya; istri saya, ditandatangani atas nama (nama suami) oleh istri, saya; aku, halaman istana kekaisaran, kaisar"
"じゅぎょう";"jugyou";"pelajaran; pekerjaan kelas; pengajaran; petunjuk"
"上手";"jouzu ; joute ; joushu ; uwate ; kamite";"mahir; terampil; ahli; bagus (di); pintar, sanjungan ; bagian atas, sungai bagian atas; hulu sungai, sisi kanan panggung (POV penonton atau kamera); kiri panggung (POV aktor), terampil (dalam perbandingan); ketangkasan, pegangan lengan pada sabuk lawan"
"じょうぶ";"joubu";"bagian atas; permukaan ; sehat; kokoh; kuat; padat; tahan lama"
"すいようび";"suiyoubi";"Rabu"
"すう";"suu";"merokok; untuk bernapas; untuk menghirup, menghisap; untuk menyesap; untuk menyeruput, untuk menyerap; untuk berendam, mencium ; beberapa; sejumlah, kuantitas; jumlah, menghitung; angka, nomor; angka; gambar, angka tata bahasa, takdir; jalannya acara; kecenderungan ; menghargai, menghormati, memuja, memuliakan"
"すき";"suki";"celah; spasi, istirahat; selingan; interval, celah (dalam baju besi seseorang, baju besi); peluang; titik lemah, pelanggaran (hubungan antar manusia) ; menyukai; sangat disukai; favorit, jatuh cinta (dengan); dicintai; tertarik secara romantis (pada), faddisme; eksentrisitas, sesuai keinginan; (sebagai) cocok untuk satu, selera yang halus; pengejaran yang elegan ; pembuatan kertas ; kicau burung ; bajak ; cangkul ; berlumuran darah ; sekop, bajak ; rasa halus; pengejaran yang elegan"
"少ない";"sukunai";"sedikit; langka; tidak memadai; jarang"
"すぐに";"suguni";"langsung; segera; sekaligus"
"少し";"sukoshi";"jumlah kecil; kecil; sedikit; sesuatu, sebentar lagi, jarak dekat"
"すずしい";"suzushii";"Dingin; menyegarkan, jernih (misalnya mata); terang, jernih; berbeda, terdiri (ekspresi wajah); tenang; tidak peduli, murni; jujur; tidak bersalah"
"すむ";"sumu";"untuk hidup (dari binatang); untuk menghuni; ke sarang ; menyelesaikan; untuk mengakhiri; untuk diselesaikan, hanya menghasilkan sesuatu yang tidak terlalu parah dari yang diharapkan, merasa nyaman, merasa tidak nyaman atau bersalah karena mengganggu seseorang; untuk meminta maaf ; untuk hidup (manusia); untuk tinggal; untuk menghuni; untuk mematuhi ; menjadi jernih (air, udara, dll.); menjadi transparan, bergaung dengan jelas (misalnya suara), menjadi tenang; untuk bebas dari kekhawatiran, diucapkan sebagai suara yang tidak bersuara"
"する";"suru";"melakukan; untuk melaksanakan; untuk melakukan, menyebabkan menjadi; untuk membuat (menjadi); untuk mengubah (menjadi), untuk berfungsi sebagai; untuk bertindak sebagai; bekerja sebagai, memakai (pakaian, ekspresi wajah, dll.), menilai sebagai makhluk; untuk melihat sebagai ada; untuk dianggap sebagai; untuk memperlakukan sebagai; untuk digunakan sebagai, untuk memutuskan; memilih, untuk dirasakan (bau, kebisingan, dll.), menjadi (dalam keadaan, kondisi, dll.), menjadi bernilai; untuk biaya, untuk melewati (waktu); berlalu, untuk menempatkan, atau menaikkan, orang A ke suatu jabatan atau status B, untuk mengubah A menjadi B; untuk membuat A menjadi B; menukar A dengan B, memanfaatkan A dengan B; untuk melihat A sebagai B; untuk menangani A seolah-olah itu adalah B, merasakan A tentang B, akhiran verbalisasi (berlaku untuk kata benda yang dicatat dalam kamus ini dengan bagian ucapan "vs"), menciptakan kata kerja rendah hati (setelah kata benda yang diawali dengan "o" atau " pergi"), akan segera; baru saja mulai; mencoba untuk; untuk mencoba ; untuk mencetak, warna atau pola kain dengan menggunakan cetakan kayu ; untuk mencukur ; untuk menggosok; untuk lecet; untuk menyerang (mencocokkan); untuk mengajukan; menjadi beku (kaca), kalah (misalnya korek api); untuk kehilangan; menghambur-hamburkan uang (misalnya melalui perjudian, Pachinko, dll.) ; mengolesi, mengaplikasikan, menyeka, menghapus ; untuk menggiling, untuk kalender, untuk memoles, untuk menggulung dengan roller batu ; untuk mencopet; mencuri"
"すわる";"suwaru";"duduk; untuk jongkok, mengambil (suatu posisi), untuk tetap stabil; untuk diam"
"せ";"se";"kembali, mundur; bagian belakang; punggung (misalnya kursi); tulang belakang (buku), tinggi; perawakan, punggung bukit (dari gunung) ; dangkal; beting, jeram; saat ini; torrent, posisi; tempat, peluang ; Ya; Baiklah; OKE ; kesempitan; menjadi sempit; hampir penuh ; Jadi; Sungguh; tampak ; arus deras; jeram ; periuk; tembikar; keramik dibakar pada suhu tinggi ; se (Satuan luas Jepang sama dengan 30 tsubo, kira-kira 99.174 m.sq.)"
"せいと";"seito";"murid; anak sekolah ; ekspedisi (militer atau kesenangan). ; bintang ; santo, Kristen ; Kota Suci (misalnya Yerusalem, Mekah) ; jalan hidup; Dunia"
"せっけん";"sekken";"sabun mandi ; wawancara ; penaklukan besar-besaran; menyapu; menaklukkan; menyerang ; sutra dalam jumlah sedikit (yaitu hanya satu kaki kain), lukisan tidak penting; karya seni yang sepele ; periuk berbentuk pedang ditemukan di situs arkeologi di Jepang bagian timur yang berasal dari akhir zaman Jomon ; ekonomi; penghematan"
"せびろ";"sebiro";"setelan jas untuk bekerja"
"せまい";"semai";"sempit; terbatas; kecil, terbatas; berpikiran sempit; membatasi ; beras yang disumbangkan; menyumbangkan beras"
"先月";"sengetsu";"bulan lalu"
"先週";"senshuu";"minggu lalu; minggu sebelumnya"
"先生";"sensei ; shiisan ; senjou ; senshou ; zenjou";"guru; pengajar; tuan, sensei; gelar atau bentuk sapaan untuk guru, master, dokter, pengacara, dll., bentuk sapaan yang intim atau menggoda, sesepuh ; anak laki-laki ; guru; pengajar; master, keberadaan sebelumnya"
"せんたく";"sentaku";"pencucian; binatu, santai; istirahat ; pilihan"
"前";"zen ; mae ; saki";"terakhir (yaitu tepat sebelum); sebelumnya; mantan-; mantan, pra- (misalnya pramodern), sebelum, sebelum; lebih awal ; di depan); sebelum (misalnya gedung), sebelum; lebih awal; sebelumnya; yang lalu; (menit) ke (jam), (yang) depan; bagian depan; depan; kepala (misalnya garis), maju; depan, (di) kehadiran (dari); di depan (seseorang), sebelumnya (misalnya halaman); sebelumnya (misalnya pertunangan); pertama (misalnya setengah); mantan (misalnya contoh), porsi; membantu, depan (tubuh atau pakaian seseorang); dada (mantel, kimono, dll.), pribadi; bagian pribadi, catatan kriminal; keyakinan sebelumnya; (a) sebelumnya ; titik; tip; akhir; nozzle, kepala (dari garis); depan, pertama; sebelum; di depan (dari), (jalan) di depan; melampaui, masa depan, sebelumnya; mantan; terkini; terakhir, tujuan, peristirahatan (misalnya sebuah cerita); kelanjutan; bagian yang tersisa, pihak lain"
"ぜんぶ";"zenbu";"bagian depan; depan ; semua; seluruh; utuh; sama sekali ; makanan (di atas meja) (khususnya meja kecil Jepang); makan malam; penutup (di restoran), memasak; koki; orang yang menyiapkan makanan"
"そうして";"soushite";"Dan; seperti itu"
"そうじ";"souji";"pembersihan; luas; debu; penggosokan ; saudara kembar ; waktu tempuh (khususnya gelombang, guncangan gempa, dll.) ; bangku rendah ; konsentrasi; ketekunan; pengabdian, asketisme; semangat dalam pencarian pencerahan, kepatuhan terhadap pola makan vegetarian ; pendeta Buddha; kuil dengan pendeta residen ; kemiripan, kesamaan, analogi ; alamat perpisahan"
"そこ";"soko";"disana (tempat yang relatif dekat dengan pendengar), di sana (tempat yang baru saja disebutkan); tempat itu, lalu ​​(tentang suatu kejadian yang baru saja dibicarakan); itu (poin yang baru saja diangkat), kamu ; dasar; tunggal"
"そして";"soshite";"Dan; kemudian; dengan demikian; dan sekarang; dan akhirnya"
"そちら";"sochira";"seperti itu; arah itu, sana, itu (satu), kamu; keluargamu; perusahaan Anda, orang itu"
"そっち";"socchi";"seperti itu; arah itu, sana, itu (satu), kamu; keluargamu; perusahaan Anda, orang itu"
"その";"sono";"itu; the, part (seperti dalam "bagian dua"), um...; eh... ; taman (khususnya buatan manusia); kebun buah-buahan; taman; perkebunan, tempat; lokasi ; kebun; taman, kebun buah-buahan ; kamu, kata ganti orang kedua ; kemewahan pertumbuhan"
"そば";"soba";"soba (Fagopyrum esculentum), soba; Mie soba Jepang ; di dekat; menutup; di samping; sekitarnya; kedekatan; di samping itu; sementara, orang ketiga"
"それ";"sore";"itu, lalu; saat itu (dalam waktu); waktu itu, di sana, kamu ; di sana!; lihat!, lanjutkan!; Kanan!; ini dia!"
"それから";"sorekara";"kemudian; Setelah itu"
"それでは";"soredeha";"Sehat,...; Kanan,...; sekarang,..., jadi; lalu, seperti itu (berarti...); jika itu masalahnya; kalau begitu, sampai jumpa"
"たいしかん";"taishikan";"kedutaan"
"たいせつ";"taisetsu";"penting; serius, berharga; Sayang; disayangi, hati-hati ; salju lebat, istilah matahari "salju besar" (kira-kira 7 Desember) ; tulang paha (dalam entomologi) ; tahan salju ; segmen; arthromer; metamere; somite"
"たいへん";"taihen";"sangat, sangat besar; hebat, serius; kuburan; mengerikan; buruk, sulit; insiden besar yang sulit; bencana ; sisi yang berlawanan"
"高い";"takai";"tinggi, mahal; harga tinggi, tinggi (level); di atas rata-rata (dalam derajat, kualitas, dll.), keras, nada tinggi; melengking"
"たくさん";"takusan";"banyak; jumlah yang besar; Kesepakatan yang bagus, cukup, cukup; terlalu banyak"
"立つ";"tatsu";"berdiri; naik; untuk berdiri, menemukan diri sendiri (misalnya dalam posisi yang sulit), untuk berangkat (di pesawat, kereta api, dll.)"
"たて";"tate";"vertikal; tinggi, depan ke belakang; panjang, utara-selatan, vertikal (hubungan); hierarki, (menenun) lungsin ; tameng; pembelaan; perisai yg berlukiskan lambang; dalih ; pusat; utama; kepala, baru saja (selesai); baru dari pemanggangan); menunjukkan aktivitas baru saja terjadi, penghitung kerugian berturut-turut ; kontrak; komitmen ; memanjakan diri, memberikan kebebasan memerintah ; vertikal, Nak ; garam ; rumah besar; istana; rumah milik bangsawan; kastil, bangsawan; bangsawan wanita; pejabat, kabin (di atas kapal, kereta, dll.) ; pertarungan pedang (dipentaskan untuk televisi, dll.); pertarungan pedang"
"たてもの";"tatemono";"bangunan ; aktor utama, tokoh utama; pemimpin ; gulir vertikal"
"たのしい";"tanoshii";"menyenangkan; seru; senang"
"たのむ";"tanomu";"untuk meminta; mengemis, menelepon; untuk memesan, mempercayakan kepada, untuk mengandalkan, tolong; silakan lakukan ; permukaan sawah ; mengandalkan, bergantung pada; menuduh secara salah"
"たばこ";"tabako";"tembakau; rokok, tanaman tembakau (Nicotiana tabacum)"
"たぶん";"tabun";"mungkin, murah hati; banyak; Besar ; menginformasikan"
"たべもの";"tabemono";"makanan"
"食べる";"taberu";"untuk makan, untuk hidup (misalnya gaji); untuk hidup; untuk bertahan hidup"
"たまご";"tamago";"telur; muncul, (ayam) telur, (ahli) dalam pembuatan, permulaan; asal; masa bayi"
"たんじょうび";"tanjoubi";"hari ulang tahun"
"大学";"daigaku";"Universitas; perguruan tinggi, bekas universitas pusat Kyoto (didirikan berdasarkan sistem risuryo untuk pelatihan administrator pemerintahan), Pembelajaran Hebat (salah satu dari Empat Buku)"
"だいじょうぶ";"daijoubu";"aman; suara; bebas masalah; tanpa rasa takut; Baiklah; OKE, tentu saja; pasti; tidak diragukan lagi, tidak, terima kasih; Aku baik-baik saja; tidak apa-apa, pria hebat; sosok pria yang baik"
"だいすき";"daisuki";"menyenangkan; sangat disukai; sangat menyukai"
"だいどころ";"daidokoro";"dapur, situasi keuangan"
"出す";"dasu";"untuk mengambil; untuk keluar, untuk memadamkan; mengungkap; untuk menunjukkan, untuk menyerahkan (misalnya tesis); untuk menyerahkan, untuk mempublikasikan, untuk mengirim (misalnya surat), untuk menghasilkan (suara); untuk memulai (api), untuk menyajikan (makanan), ... keluar (misalnya melompat keluar, melaksanakan), untuk memulai...; untuk meledak..."
"だれ";"dare";"WHO ; undercut (dari tepi mesin) ; saus (khususnya saus berbahan dasar kedelai atau mirin), gantung; sesuatu yang menggantung (flap, lappet, dll.), (kendo) pelindung pinggang, kanji radikal yang melingkari sudut kiri atas karakter, -pantat; -kepala"
"だれか";"dareka";"seseorang"
"だんだん";"dandan";"perlahan-lahan; sedikit demi sedikit; semakin, langkah; tangga; teras ; terima kasih (dialek dari wilayah Izumo di Prefektur Shimane)"
"千";"chi ; sen";"1.000; ribu"
"小さい";"chiisai";"kecil, sedikit; di bawah rata-rata (dalam derajat, jumlah, dll.); minor; kecil, rendah (misalnya suara); lembut (misalnya suara), tidak penting; cerewet; remeh; sepele, muda; remaja"
"小さな";"chiisana";"kecil"
"ちかい";"chikai";"di dekat; menutup; pendek (jarak), dekat (dalam waktu); segera, dekat (hubungan); ramah; intim, kerabat dekat, serupa; hampir sama; dekat dengan; hampir ; sumpah ; batas; batas bumi ; daratan; memblokir ; tercerahkan berdasarkan pengetahuan ; ruang bawah tanah; gudang di bawah tanah"
"ちかく";"chikaku";"di dekat; lingkungan; sekitar, hampir (misalnya, "butuh waktu hampir satu tahun"); dekat, segera ; persepsi; sensasi; kesadaran ; inti (Bumi). ; Kerak bumi"
"ちかてつ";"chikatetsu";"kereta bawah tanah"
"ちがう";"chigau";"berbeda (dari); berbeda-beda, tidak dalam kondisi biasa, tidak sesuai dengan yang benar (jawaban, dll.), berbeda dari yang dijanjikan, bukan?"
"ちず";"chizu";"peta"
"ちゃいろ";"chairo";"coklat muda; kuning kecoklatan"
"ちゃわん";"chawan";"tempat nasi; cangkir teh"
"ちょうど";"choudo";"tepat; dengan tepat; hanya; benar, seolah-olah; seperti; lumayan ; konsistensi ; peralatan Rumah tangga; mebel; perabot; perlengkapan; perbekalan, busur dan anak panah"
"ちょっと";"chotto";"sedikit, sebentar; untuk sesaat, agak; lebih tepatnya; secara adil; cantik; cukup, (tidak) mudah; (tidak) siap, hei!; Ayo; permisi, terima kasih, tapi tidak; tidak layak; tidak memungkinkan"
"つかう";"tsukau";"untuk menggunakan (sesuatu, metode, dll.); untuk memanfaatkan; untuk digunakan, untuk digunakan (seseorang, binatang, boneka, dll.); untuk mempekerjakan; untuk menangani; untuk mengelola; untuk memanipulasi, untuk menggunakan (waktu, uang, dll.); menghabiskan; untuk mengkonsumsi, menggunakan (bahasa); berbicara"
"つかれる";"tsukareru";"menjadi lelah; melelahkan; menjadi kelelahan, menjadi lelah (karena benda yang sering digunakan), menjadi kelaparan ; untuk dimiliki"
"つぎ";"tsugi";"Berikutnya; mengikuti; tahap, berikutnya; stasiun ; tambalan; menambal, bergabung, penerus; ahli waris"
