"愛";"ai ; mana";"Cinta; kasih sayang; perawatan, keterikatan; keinginan, agape, Irlandia ; kesayangan; Sayang"
"婦";"yome ; fu";"istri; pengantin, menantu perempuan ; wanita yang sudah menikah, wanita"
"喜";"yoroko.bu ; yoroko.basu ; ki";"seperti, cinta, nikmati; hal yang menyenangkan"
"等";"ra ; nado ; tou";"bentuk jamak akhiran, atau lebih; indikator kasar arah, lokasi, jumlah, dll., akhiran nominalisasi ; dan sebagainya; dll.; dan sejenisnya, atau sesuatu, seperti, misalnya; contohnya; untuk satu ; kelas; memesan; pangkat, dan lain-lain; dll.; dan sejenisnya, sama; iso-"
"利";"ri";"keuntungan; laba; minat"
"流";"ryuu ; ru";"mode; jalan; gaya; cara, sekolah (pemikiran), kelas; pangkat; laju, arus (listrik, air, dll.); mengalir; sungai kecil ; pengasingan (hukuman terberat kedua dari lima hukuman ritsuryō) ; counter untuk bendera, spanduk, dll."
"良";"ryou";"baik (kualitas, kondisi, dll.), Baik (kelas); B"
"両";"ryou ; moro ; ryan";"keduanya (tangan, orang tua, samping, dll.), konter untuk gerbong (misalnya di kereta); counter untuk kendaraan, ryō; tael; satuan berat tradisional (untuk emas, perak dan obat-obatan), 4-5 monme, 15-19 g, ryō; satuan mata uang pra-Meiji, asal. nilai satu ryō emas, ryō; ukuran kain tradisional, 2 tan, ryō; tael; satuan berat di bawah sistem Ritsuryo, 1/16 kin, penghitung 42-43 g, untuk pakaian, set baju besi, dll. ; keduanya, banyak; bermacam-macam; semua, bersama"
"類";"rui ; tagui";"baik; menyortir; jenis; kelas; marga; memesan; keluarga, contoh serupa; paralel; sejenisnya ; baik; menyortir; ketik, sama; cocok; rekan"
"例";"rei ; tameshi";"kebiasaan; praktik; biasa, berkata; contoh, yang disebutkan di atas; contoh; kasus; ilustrasi; penggunaan, preseden ; preseden; contoh"
"礼";"rei";"terima kasih; syukur, sopan santun; etiket, membungkuk, hadiah, upacara; ritual, uang kunci"
"列";"retsu";"baris; garis; mengajukan; kolom; antre; pangkat; prosesi, perusahaan (seseorang); kelompok; peringkat, urutan, penghitung untuk baris"
"老";"rou";"usia tua; orang tua; yang lama; Yang berusia; senior; lebih tua, saya; diriku yang rendah hati"
"労";"rou";"tenaga kerja; bekerja keras; masalah; rasa sakit; bekerja; upaya; berjuang"
"論";"ron";"argumen; diskusi; sengketa; kontroversi; ceramah; perdebatan, teori (misalnya evolusi); doktrin, esai; risalah; komentar"
"和";"wa ; yawa ; nodo ; nagi";"jumlah, harmoni; perdamaian, Jepang; Gaya Jepang ; lembut; rentan; lemah; dibangun dengan buruk; tdk kuat ; tenang; diam ; tenang (di laut); menidurkan"
"若";"waka ; mokoro";"remaja, anak (khususnya anak laki-laki dari seseorang yang berkedudukan sosial tinggi), muda; baru ; menyukai; mirip dengan; sama dengan"
"忘";"wasu.reru ; bou";"lupa; menelantarkan; Nona, hilangkan"
"渡";"wata.ru ; -wata.ru ; wata.su ; to";"menyeberang; feri"
"笑";"warai";"tertawa; tawa, senyum, mencibir, alat bantu seks (mis., mainan seks, buku pornografi, cetakan balok kayu erotis, dll.) ; TERTAWA TERBAHAK-BAHAK; ha ha"
"割";"wari";"kecepatan; perbandingan; proporsi; persentase, keuntungan, penugasan, 10%; satuan sepuluh persen, cocok; jadwal pertandingan, diencerkan dengan (minuman); dicampur dengan"
"打";"daasu";"lusin ; memukul bola; memukul; stroke"
"留";"ruuburu ; ruuburi ; ryuu";"rubel (mata uang Rusia); rubel ; titik stasioner"
